ID,Contract Valid Until,Loaned From,Release Clause,Work Rate
185020,2020,,€46.8M,High/ High
183898,2021,,€54.6M,High/ Medium
181783,2020,,€41.3M,High/ High
180403,2020,,€56.4M,High/ High
178750,2022,,€52.2M,Medium/ Medium
178562,2020,,€60.9M,Medium/ Medium
177413,2022,,€40.8M,Medium/ Medium
177388,2021,,€52.3M,High/ Low
176769,2020,,€33M,High/ Medium
172879,2021,,€43.7M,Medium/ High
167628,2021,,€36.1M,Medium/ Medium
167397,2020,,€47.5M,High/ Medium
163587,2023,,€36.1M,Medium/ Medium
157481,2021,,€30.6M,Low/ High
143076,2022,,€51M,High/ Medium
137186,2019,,€6.9M,Low/ High
20775,2020,,€29.5M,High/ Low
9014,2019,,€25.6M,High/ Low
231443,2022,,€90M,High/ Low
230666,2023,,€84.1M,High/ High
230481,2021,,€50.4M,High/ Medium
230375,2021,,€40.5M,Medium/ Medium
230294,2021,,€54.2M,High/ Low
225850,2023,,€62.5M,High/ High
220971,2023,,€67.2M,High/ Medium
219683,2022,,€58.7M,High/ Medium
213565,2023,,€79.9M,High/ Medium
213345,2023,,€58.7M,Medium/ Low
213331,2023,,€52.4M,Medium/ Medium
212523,"Dec 31, 2018",SL Benfica,,High/ Medium
212188,2020,,€61.2M,High/ Medium
210008,2019,,€63.5M,High/ Medium
209658,2022,,€58.7M,High/ High
208808,2023,,€66.3M,High/ Low
208670,2021,,€47.9M,High/ High
208618,2021,,€55.4M,High/ High
208418,2021,,€73.4M,High/ Medium
208093,2023,,€69.6M,High/ Medium
207863,2021,,€40M,Medium/ High
207410,"Jun 30, 2019",Real Madrid,,High/ High
206585,2025,,€58.4M,Medium/ Medium
206545,2022,,€65.3M,Medium/ Medium
206113,2020,,€59.5M,High/ Medium
204935,2024,,€49.4M,Medium/ Medium
204639,2020,,€55.3M,Medium/ High
203574,2022,,€54.9M,High/ Medium
202651,2022,,€58.6M,High/ Medium
202166,2021,,€62.6M,Medium/ Medium
201995,2022,,€62.2M,High/ Medium
200949,2023,,€59.7M,High/ Medium
200888,2022,,€56M,Medium/ High
200724,2021,,€52.1M,Medium/ High
200316,2023,,€37.8M,Medium/ Medium
199914,2023,,€45.1M,Medium/ High
199845,2023,,€32.3M,Medium/ Medium
199564,2022,,€56.3M,High/ High
198329,2022,,€66.3M,High/ Medium
197965,2022,,€51M,High/ Medium
195365,2021,,€45.1M,High/ High
194404,2021,,€45.7M,Medium/ Medium
193698,2021,,€37.3M,Medium/ Medium
193474,2022,,€39.9M,Medium/ High
192883,2021,,€48.5M,Medium/ Medium
192638,2023,,€46.2M,High/ Low
192593,2020,,€24.7M,Medium/ Medium
190547,2021,,€36.1M,Low/ Medium
189712,2023,,€39.9M,Medium/ High
189068,2021,,€52M,Medium/ Medium
188152,2020,,€69.4M,Medium/ Medium
186627,2019,,€52.3M,Medium/ Low
185221,2021,,€36.1M,Medium/ High
184942,2021,,€44.2M,High/ Medium
179944,2019,,€32.4M,Medium/ Medium
179783,2022,,€35.5M,Medium/ Medium
178088,2019,,€45.3M,Medium/ Medium
178086,2020,,€31.8M,Medium/ Medium
178005,2022,,€31.4M,Medium/ Medium
177683,2021,,€35.5M,Medium/ Medium
177610,2021,,€33M,Medium/ Medium
177457,2021,,€34M,High/ High
176266,2020,,€29.8M,Medium/ High
163705,2020,,€24.7M,Medium/ Medium
162895,2019,,€40.7M,High/ Medium
162240,2019,,€44.4M,Medium/ Medium
156616,2019,,€19M,Medium/ Medium
104389,2021,,€22.1M,Medium/ Medium
53302,2019,,€13.6M,Medium/ High
24630,2021,,€10.2M,Medium/ Medium
236583,2021,,€34.6M,Medium/ Medium
235243,2021,,€43.2M,Medium/ Medium
231866,2023,,€61.6M,Medium/ High
230658,2024,,€73.1M,Medium/ Medium
230621,2021,,€55.1M,Medium/ Medium
230258,2018,,€31.4M,High/ Medium
230225,2021,,€12.4M,High/ Medium
230168,2021,,€25.2M,Medium/ Medium
227055,2023,,€62.7M,High/ Medium
224411,2024,,€63.1M,High/ Low
223959,2023,,€49.4M,Medium/ High
222737,2023,,€70.9M,Medium/ Medium
221087,2023,,€46.8M,Medium/ Medium
220814,2024,,€57.4M,Medium/ High
220440,2023,,€58.5M,Medium/ High
216354,2022,,€46.2M,Medium/ Medium
216267,2021,,€48.4M,High/ High
216194,2022,,€43.5M,Medium/ High
212404,2022,,€50.9M,High/ High
212194,2021,,€58M,Medium/ Medium
211320,2021,,€42.3M,Low/ Medium
210617,2023,,€51.5M,Medium/ High
210514,2023,,€47.2M,High/ Medium
210413,2022,,€50.4M,Medium/ High
209989,2023,,€57.4M,High/ High
209297,2023,,€51M,High/ High
208830,2022,,€38M,High/ High
208596,2021,,€53.3M,High/ High
208448,2022,,€46.2M,Medium/ Medium
207494,2021,,€51M,High/ High
207471,2021,,€45.2M,Medium/ High
205678,2021,,€42.8M,High/ Medium
205452,2022,,€43.3M,Medium/ High
203551,2023,,€36.4M,High/ Medium
203263,2023,,€46.4M,High/ High
202371,2020,,€40.4M,High/ High
201956,2022,,€31.5M,Medium/ High
201455,2022,,€59.8M,High/ Medium
201400,2020,,€62.7M,High/ High
201305,2022,,€45.7M,Low/ High
201153,2022,,€54.9M,High/ High
199987,2021,,€38.3M,Medium/ Medium
199451,2021,,€49.4M,High/ High
198951,2021,,€59.2M,Medium/ Medium
198950,2020,,€56.6M,High/ Medium
198717,2023,,€56.3M,High/ Low
198706,2022,,€50.6M,High/ Medium
198164,2020,,€49.5M,High/ Low
198141,2023,,€45.7M,High/ Medium
197655,2022,,€43.6M,Medium/ Medium
195093,2024,,€57.6M,Medium/ Low
193525,2022,,€40.7M,High/ High
193469,2019,,€42.4M,Medium/ Medium
193283,2022,,€38.2M,High/ High
192984,2021,,€34.6M,Medium/ Medium
192318,2020,,€47.9M,Medium/ Medium
192227,2021,,€44.4M,Medium/ High
191180,2022,,€36.6M,High/ Medium
189505,2020,,€38.9M,High/ High
189125,2020,,€37.4M,High/ Medium
189117,2021,,€32.8M,Medium/ Medium
188803,2021,,€44.1M,Medium/ Medium
187936,2022,,€28.9M,Medium/ Medium
187754,2019,,€44.1M,Medium/ Medium
186561,2019,,€49.4M,High/ High
186345,2022,,€34.2M,High/ High
185103,2020,,€21.3M,High/ Medium
184484,2022,,€42.8M,High/ High
184431,2019,,€30M,High/ Medium
184200,2022,,€41.8M,High/ Medium
184144,2021,,€45.2M,Medium/ Medium
183711,2020,,€34.2M,Medium/ High
183574,2019,,€36.6M,High/ Medium
183498,2020,,€15.3M,High/ High
183376,2021,,€34M,Low/ High
183280,2021,,€23.8M,High/ High
181786,2020,,€26.3M,High/ Medium
181291,2021,,€43.7M,High/ High
179847,2020,,€25.5M,Medium/ Medium
178509,2019,,€37M,Medium/ Medium
173521,2021,,€25.5M,Medium/ Medium
171897,2020,,€39.9M,Medium/ Medium
170481,2020,,€31.5M,Medium/ Medium
168530,2021,,€25M,Medium/ High
168435,2022,,€23M,Medium/ Medium
168354,2020,,€25M,Medium/ Medium
165229,2020,,€23.8M,Medium/ High
163489,2022,,€23M,Medium/ Medium
158963,2020,,€21.3M,Medium/ High
146530,2019,,€8.9M,High/ Low
113422,2018,,€12M,High/ Low
106231,2019,,€16.8M,High/ Medium
48940,2019,,€5.7M,Medium/ Medium
5479,2019,,€3M,Medium/ Medium
231677,2020,,€55.4M,High/ Medium
230271,2021,,€32.3M,Medium/ Medium
229906,2023,,€50.4M,High/ Medium
229237,2022,,€39.9M,Medium/ High
228702,2022,,€41.6M,Medium/ Medium
227928,2022,,€42.5M,Medium/ High
226456,2022,,€52.2M,High/ High
226271,2023,,€49.4M,Medium/ Medium
225508,2020,,€43.1M,Medium/ High
222509,2023,,€56.3M,Medium/ Medium
221992,2023,,€35.4M,High/ Medium
216475,2021,,€35.7M,High/ Medium
216451,2022,,€40.5M,Medium/ Medium
216409,"Jun 30, 2019",Sassuolo,,High/ Medium
216352,2022,,€32.8M,Medium/ Medium
216201,2025,,€56.4M,High/ High
214997,2024,,€55.1M,Medium/ Low
213661,2022,,€44.1M,Low/ Medium
212814,2021,,€39.9M,Medium/ Medium
212151,2019,,€30.2M,Medium/ Medium
210864,2021,,€35.5M,Medium/ Medium
210406,2021,,€46.6M,Medium/ Medium
210243,2023,,€37.5M,High/ High
210035,2021,,€45.1M,High/ Medium
209889,2020,,€42.6M,Medium/ Medium
208135,2023,,€38.5M,High/ Medium
207877,2020,,€35.4M,High/ Medium
207664,2022,,€33.6M,Medium/ Low
206467,2023,,€39.1M,High/ Medium
205923,2021,,€35.6M,High/ High
205362,2022,,€32.8M,Low/ High
205175,2021,,€48.5M,Medium/ Medium
204923,2022,,€39.9M,High/ High
204884,2022,,€38.5M,High/ Low
204024,2021,,€30.2M,High/ High
203890,"Jun 30, 2019",Atlético Madrid,,High/ Medium
203486,2020,,€38.2M,Medium/ Medium
202857,2021,,€30.6M,High/ High
202685,"Jun 30, 2019",Valencia CF,,High/ High
201454,2022,,€29.3M,High/ Medium
200726,2021,,€31.1M,Medium/ Medium
200647,2021,,€28.9M,Medium/ Medium
200610,2021,,€39.1M,High/ High
200454,2023,,€41.7M,High/ Medium
199715,2022,,€36.9M,High/ High
199503,2021,,€43.5M,Medium/ Medium
199434,2022,,€24.5M,Medium/ Low
199042,2020,,€28.9M,Medium/ Medium
196889,2023,,€33.2M,High/ Medium
195086,2021,,€31.6M,Medium/ High
193532,2020,,€24.7M,Medium/ High
193348,2023,,€36.1M,Medium/ Medium
193165,2020,,€44.6M,Medium/ Low
193105,2019,,€31.8M,Medium/ Medium
192641,2022,,€31.1M,High/ Medium
191740,2019,,€32.4M,High/ High
190972,2019,,€37M,High/ Medium
190813,2020,,€37.3M,High/ Medium
189881,2019,,€30.8M,Medium/ High
189362,2020,,€34.1M,High/ Medium
189358,2020,,€29.8M,High/ Medium
188988,2020,,€45.4M,Medium/ Medium
187491,2022,,€38.9M,High/ Medium
187072,2021,,€30.6M,Medium/ Medium
185239,2021,,€28.4M,Medium/ Medium
183900,2021,,€29.8M,Medium/ Medium
182494,2021,,€19M,Medium/ Medium
179784,2022,,€27.3M,Medium/ Medium
179645,2021,,€29.4M,Low/ High
177458,2021,,€23.8M,Medium/ High
177326,2019,,€20.9M,High/ Medium
175379,2020,,€32.6M,Medium/ Low
173909,2021,,€25.5M,High/ Medium
173771,2020,,€11.9M,Medium/ Medium
173221,2021,,€26.4M,Medium/ Medium
172522,2022,,€35.7M,High/ Medium
170368,2022,,€40.4M,High/ High
169595,2021,,€26.8M,Medium/ High
169416,2022,,€26.3M,High/ Low
169195,2021,,€36.3M,Medium/ Medium
167905,2019,,€18.5M,High/ High
164835,2021,,€17.1M,Medium/ Medium
162347,2020,,€28.5M,High/ Medium
161956,2020,,€18.7M,Medium/ Medium
159261,2019,,€13.6M,Medium/ Medium
159145,2020,,€23.8M,High/ Low
157960,2019,,€29.4M,High/ Medium
156519,2019,,€35M,High/ High
144622,2019,,€18.7M,High/ Medium
139068,2020,,€31M,High/ Medium
138412,2020,,€25.7M,High/ High
112316,2019,,€11M,High/ Medium
45186,2020,,€12.6M,High/ Medium
239207,2022,,€44.6M,Low/ Medium
235790,2022,,€41.8M,Medium/ Medium
235569,2023,,€47.3M,High/ High
234906,2023,,€49.4M,High/ Medium
234153,2021,,€48.3M,Medium/ Medium
234035,2024,,€41.6M,High/ Medium
230977,2019,,€30.7M,High/ High
230347,2021,,€20M,Medium/ Medium
230234,2021,,€8.5M,High/ High
230142,2024,,€48.3M,High/ Medium
228229,2021,,€30.6M,Medium/ Medium
227536,2021,,€32M,High/ Medium
226851,2021,,€33.3M,Medium/ Medium
226790,2024,,€33.6M,Medium/ High
226753,2021,,€21.4M,Medium/ Medium
226226,"Jun 30, 2019",Paris Saint-Germain,,High/ Medium
224334,2023,,€25M,Medium/ High
224293,2023,,€43.1M,Medium/ Medium
221639,2023,,€42.5M,High/ Medium
221540,2022,,€24M,Medium/ Medium
220477,2023,,€33.3M,Medium/ High
219985,2022,,€25.7M,High/ High
219809,"Jun 30, 2019",Chelsea,,Medium/ Medium
218339,2022,,€38M,High/ High
216547,2021,,€38.4M,High/ Medium
215785,"Jun 30, 2019",AS Monaco,,High/ Low
215316,2022,,€30.5M,Medium/ Medium
214584,2022,,€12.6M,Medium/ Medium
212692,2022,,€39.5M,High/ Medium
212623,2021,,€43.5M,High/ Medium
211748,2022,,€34.6M,Medium/ Medium
211688,2023,,€35.9M,High/ Medium
211575,"Jun 30, 2019",FC Barcelona,,Medium/ Medium
211256,2022,,€22.1M,High/ Medium
210896,2021,,€38.5M,Medium/ Medium
209960,2020,,€28.3M,Medium/ Medium
208333,2022,,€33.6M,High/ High
208128,2021,,€34.6M,Medium/ Medium
207862,2021,,€27.5M,Medium/ Medium
207599,2022,,€30.6M,Medium/ High
207439,,,,Medium/ Medium
206413,2022,,€25.2M,Medium/ High
205988,2023,,€31.8M,High/ Medium
205705,2021,,€25.2M,Medium/ Medium
205693,2021,,€33.7M,High/ Medium
205525,2022,,€34.6M,High/ Medium
205114,2021,,€29.4M,Medium/ Medium
205070,2022,,€38.1M,Medium/ Medium
204529,"Jun 30, 2019",Chelsea,,Medium/ Low
204399,2020,,€31.2M,High/ Low
204120,2021,,€25M,Medium/ Medium
203841,2020,,€25.7M,Medium/ Medium
203747,2023,,€32.6M,High/ Low
203605,2023,,€24.9M,High/ Medium
203042,2021,,€27.7M,Medium/ Medium
202849,2022,,€28.6M,Medium/ Medium
202695,2022,,€30.6M,Medium/ Medium
202477,2023,,€36.5M,High/ Low
202335,2021,,€31.8M,Medium/ High
201377,2022,,€34.8M,Medium/ High
201144,2022,,€19.6M,Medium/ Medium
201119,2023,,€24.2M,High/ High
200536,2020,,€25.7M,High/ Medium
200458,2023,,€31.6M,High/ Medium
200318,2022,,€31.1M,Medium/ High
200315,2022,,€33.6M,Medium/ Low
199206,2022,,€21.9M,Medium/ High
199110,2022,,€38.1M,High/ Medium
199069,2021,,€37.4M,High/ Medium
198784,2022,,€38.5M,High/ High
197853,2022,,€29.8M,High/ High
197061,2020,,€29.6M,Medium/ Medium
195861,2022,,€25.2M,High/ Medium
194879,2019,,€32.6M,High/ High
194794,2022,,€28.5M,High/ Medium
194229,2023,,€29.4M,High/ Medium
194022,2021,,€24M,Medium/ High
193886,2021,,€25.5M,Medium/ Medium
193352,2021,,€27.5M,Medium/ Medium
193061,2021,,€29.5M,High/ Medium
192789,2023,,€25.2M,High/ Medium
191687,2021,,€21.9M,Medium/ High
190815,2022,,€16.8M,Medium/ Medium
190778,2021,,€18.4M,Medium/ Medium
190544,"Jun 30, 2019",Torino,,High/ Low
190286,2022,,€32.6M,High/ Medium
190264,2022,,€25.5M,High/ High
189805,2021,,€22.4M,Medium/ High
189690,2021,,€17.1M,Medium/ Medium
189575,2024,,€40.2M,High/ Medium
189354,2019,,€29.4M,High/ Medium
189251,2022,,€20.4M,Medium/ Medium
188943,"Jun 30, 2019",Paris Saint-Germain,,Medium/ Medium
188942,2021,,€27.9M,Medium/ High
188829,2020,,€20.4M,Medium/ Medium
188388,2021,,€31.5M,High/ Medium
188005,2021,,€24M,Medium/ High
186569,2021,,€16.5M,Medium/ Medium
186547,2021,,€21.3M,Medium/ Medium
186537,2020,,€28.4M,Medium/ Low
185122,2022,,€17.9M,Medium/ Medium
184120,2020,,€14.7M,Medium/ High
183427,2020,,€21.3M,High/ High
180819,2021,,€25.7M,High/ High
180334,2021,,€19M,Low/ Medium
180216,2022,,€20.9M,High/ High
180175,2019,,€33.3M,High/ Low
178424,2020,,€20M,High/ Medium
177604,2019,,€15.2M,High/ Medium
177600,2020,,€26.3M,Medium/ Medium
176915,2019,,€23.7M,Medium/ Medium
176600,2021,,€28.4M,Medium/ Medium
176376,2020,,€13.5M,High/ Medium
176104,2021,,€22.1M,Medium/ Medium
173373,2021,,€16.7M,Medium/ Medium
173208,2023,,€17M,Medium/ Medium
172114,2018,,€17.3M,High/ Medium
171833,2019,,€29.5M,Medium/ Low
171579,2020,,€27.3M,High/ Medium
170815,2019,,€25.7M,Medium/ Medium
166706,2019,,€11.4M,Medium/ High
165109,2020,,€17M,Medium/ High
164468,2019,,€15.7M,Medium/ Medium
163711,2019,,€11.1M,Medium/ High
159147,2020,,€16.2M,Medium/ High
158625,2019,,€8.5M,Medium/ High
156713,,,,High/ Medium
153244,2019,,€19.2M,Medium/ Medium
150418,2020,,€20.4M,High/ Medium
148119,2022,,€18.7M,Medium/ Medium
147782,2019,,€9.4M,Medium/ High
146760,2019,,€11.3M,High/ Medium
146748,2020,,€4.2M,Medium/ Medium
146562,2019,,€17.9M,High/ Low
146536,2021,,€24.2M,Medium/ Medium
142754,2019,,€9.7M,Low/ High
140293,2021,,€10.2M,Medium/ Medium
139997,2019,,€2.9M,High/ High
121944,2019,,€8.7M,Medium/ Medium
110677,2020,,€12.6M,Medium/ Medium
54050,2021,,€18M,Medium/ High
49369,2019,,€10M,Medium/ Medium
49031,2022,,€1.7M,Medium/ Medium
244369,2023,,€41.4M,High/ Medium
239818,2023,,€33M,Medium/ High
236632,2022,,€28.8M,High/ Medium
233419,2022,,€39.6M,High/ Medium
232097,2021,,€34.2M,High/ Medium
231943,2023,,€37.8M,High/ High
231478,2023,,€34.2M,High/ Medium
230938,"Jun 30, 2019",Atalanta,,High/ High
230498,2021,,€22.8M,High/ Medium
230312,2021,,€17.1M,Medium/ Medium
230251,2021,,€18.1M,Medium/ Medium
230212,2018,,€18.1M,Medium/ Medium
230201,2021,,€6.8M,High/ Medium
229909,,,,Medium/ Medium
228941,"Jun 30, 2019",Milan,,High/ Medium
227796,2020,,€34.2M,Medium/ Medium
227290,2021,,€21.8M,Medium/ Medium
227234,2023,,€28.6M,Medium/ High
226161,2021,,€36M,Medium/ Medium
225997,2023,,€33.7M,High/ Medium
225953,2022,,€28.8M,Medium/ Medium
225711,2023,,€28.5M,High/ Medium
225663,2023,,€35.7M,High/ High
225647,2021,,€14.8M,Medium/ Medium
224254,2022,,€28M,High/ Medium
224069,2023,,€32.6M,High/ Medium
223682,2021,,€25.2M,Medium/ Medium
223061,2023,,€35.3M,High/ High
222028,2021,,€25.7M,Medium/ Medium
221660,2021,,€29.7M,Medium/ Medium
220018,2022,,€28.4M,High/ Medium
219932,2021,,€40.3M,High/ Medium
219576,2023,,€30.1M,Medium/ Medium
216497,2022,,€30.2M,High/ Medium
216388,2020,,€37.8M,High/ Low
216150,2021,,€24.1M,High/ High
215353,2022,,€28.4M,High/ Medium
215061,2021,,€18.2M,High/ Low
215057,2023,,€20.4M,Medium/ High
214947,2023,,€27.2M,Medium/ High
213991,2023,,€28.6M,Medium/ High
213516,2022,,€35.3M,High/ Medium
213160,2021,,€34.5M,High/ High
212150,2021,,€31.6M,Medium/ Medium
211368,2022,,€29.3M,High/ Medium
211267,2021,,€24.4M,High/ Medium
210455,"Jun 30, 2019",Atlético Madrid,,High/ High
210411,2021,,€38.5M,Medium/ Medium
210324,2020,,€26.6M,Medium/ Medium
208920,2022,,€28.6M,Medium/ High
208334,2023,,€15M,Medium/ Medium
207993,2022,,€25.7M,Medium/ High
207939,2021,,€16M,Medium/ High
207732,2023,,€31.5M,High/ Medium
206652,"Jun 30, 2019",Sevilla FC,,Medium/ Medium
206304,2020,,€24.7M,Medium/ High
205407,2020,,€27.5M,High/ Medium
205193,2021,,€24.9M,Medium/ High
205192,2020,,€39.4M,Medium/ Medium
204638,2022,,€23.1M,Medium/ High
204614,2022,,€20.4M,High/ Medium
204525,2023,,€26.1M,Medium/ Medium
204311,"Jun 30, 2019",Chelsea,,Medium/ Medium
204277,2021,,€21M,High/ High
204082,2022,,€24.9M,Medium/ Medium
203775,"May 31, 2020",Liverpool,,Medium/ Medium
203757,2021,,€31.5M,Medium/ Medium
203483,2022,,€26.6M,High/ High
203362,2023,,€36.8M,High/ Medium
203106,2023,,€28.4M,High/ Medium
202648,2023,,€34.8M,Medium/ Low
202562,2022,,€24.9M,High/ Medium
202325,2021,,€21.3M,Medium/ High
202201,2022,,€21.3M,High/ Medium
201862,2021,,€18.5M,Medium/ High
201519,2021,,€29.3M,Medium/ High
201510,2020,,€25M,High/ Low
201508,2020,,€22.1M,Medium/ Low
201505,2023,,€21M,Medium/ High
201325,2019,,€13.3M,Medium/ Medium
201143,2021,,€28.3M,High/ Medium
201042,2022,,€23.7M,High/ High
200641,2020,,€21.3M,Medium/ Medium
200260,2021,,€22.1M,Medium/ Medium
200155,2020,,€24.4M,High/ High
199823,2020,,€33.7M,Medium/ Medium
199767,2020,,€27.9M,High/ High
199561,2020,,€23.1M,High/ Low
199439,2022,,€28.4M,High/ Low
199416,2019,,€26.3M,High/ Medium
199304,2022,,€23.1M,High/ Medium
199189,2023,,€30.8M,Medium/ Medium
199005,2022,,€20.7M,Medium/ Medium
198715,2021,,€26.3M,High/ Medium
198200,2020,,€17.9M,Low/ High
198118,2020,,€21.3M,Medium/ High
198031,2021,,€32.2M,Medium/ Medium
197083,2020,,€15.3M,Medium/ Medium
196978,2022,,€30.6M,High/ Medium
194957,2019,,€23.1M,Medium/ High
194761,2022,,€27.3M,High/ Medium
193738,2021,,€23.8M,Medium/ Medium
193601,2022,,€22.2M,Medium/ Medium
193171,2021,,€18.9M,High/ High
192991,2022,,€28.6M,High/ Medium
192679,2021,,€21M,High/ Medium
192678,2021,,€27.3M,Medium/ Medium
192598,2020,,€28.6M,High/ Medium
192064,2020,,€33M,High/ Medium
191076,2021,,€24.7M,High/ High
190456,2020,,€22.7M,High/ Medium
190243,2021,,€13.6M,Medium/ Medium
190149,2019,,€20M,High/ Medium
189682,2019,,€19M,Medium/ High
189681,2019,,€20M,High/ Medium
189560,2021,,€18.1M,Medium/ Medium
189461,2021,,€29.6M,Medium/ Medium
189433,2021,,€17M,Medium/ Medium
189423,2021,,€17M,Medium/ Medium
189271,2022,,€26.1M,Medium/ High
188081,2019,,€28M,High/ Medium
187735,2019,,€27.5M,High/ Medium
187347,,,,High/ High
187052,2022,,€22.7M,Medium/ Medium
186832,2021,,€16.2M,High/ High
186148,2020,,€17.8M,Medium/ Medium
186132,2022,,€23.1M,Medium/ Medium
185431,2021,,€24.6M,High/ High
184949,2020,,€13.3M,Medium/ Medium
