ID,Overall,Potential,International Reputation
210008,83,87,2.0
209658,83,88,3.0
208808,83,84,2.0
208670,83,86,3.0
208618,83,83,2.0
208418,83,86,3.0
208093,83,85,1.0
207863,83,83,3.0
207410,83,89,3.0
206585,83,91,1.0
206545,83,84,2.0
206113,83,88,2.0
204935,83,88,1.0
204639,83,86,2.0
203574,83,87,2.0
202651,83,86,3.0
202166,83,86,3.0
201995,83,85,3.0
200949,83,84,3.0
200888,83,86,3.0
200724,83,85,2.0
200316,83,87,2.0
199914,83,83,2.0
199845,83,83,2.0
199564,83,86,3.0
198329,83,84,2.0
197965,83,83,3.0
195365,83,83,2.0
194404,83,84,2.0
193698,83,84,2.0
193474,83,83,2.0
192883,83,83,3.0
192638,83,84,2.0
192593,83,83,3.0
190547,83,83,3.0
189712,83,83,3.0
189068,83,83,3.0
188152,83,84,3.0
186627,83,83,4.0
185221,83,83,3.0
184942,83,83,2.0
179944,83,83,4.0
179783,83,84,2.0
178088,83,83,3.0
178086,83,83,2.0
178005,83,83,3.0
177683,83,84,3.0
177610,83,83,3.0
177457,83,83,3.0
176266,83,83,3.0
163705,83,83,3.0
162895,83,83,4.0
162240,83,83,3.0
156616,83,83,4.0
104389,83,83,2.0
53302,83,83,3.0
24630,83,83,3.0
236583,82,85,1.0
235243,82,91,2.0
231866,82,87,1.0
230658,82,90,1.0
230621,82,93,3.0
230258,82,82,1.0
230225,82,82,1.0
230168,82,82,1.0
227055,82,87,3.0
224411,82,86,1.0
223959,82,87,2.0
222737,82,89,2.0
221087,82,87,1.0
220814,82,88,1.0
220440,82,88,1.0
216354,82,83,2.0
216267,82,87,1.0
216194,82,83,2.0
212404,82,87,2.0
212194,82,88,2.0
211320,82,86,2.0
210617,82,86,2.0
210514,82,88,2.0
210413,82,89,2.0
209989,82,88,1.0
209297,82,84,1.0
208830,82,82,3.0
208596,82,87,3.0
208448,82,83,2.0
207494,82,83,2.0
207471,82,82,2.0
205678,82,82,2.0
205452,82,84,2.0
203551,82,83,3.0
203263,82,85,1.0
202371,82,83,2.0
201956,82,82,2.0
201455,82,85,2.0
201400,82,87,2.0
201305,82,83,2.0
201153,82,85,3.0
199987,82,84,3.0
199451,82,82,2.0
198951,82,83,2.0
198950,82,83,2.0
198717,82,85,2.0
198706,82,85,2.0
198164,82,82,2.0
198141,82,83,3.0
197655,82,83,3.0
195093,82,83,2.0
193525,82,82,2.0
193469,82,83,2.0
193283,82,83,2.0
192984,82,85,2.0
192318,82,85,4.0
192227,82,84,3.0
191180,82,82,3.0
189505,82,82,3.0
189125,82,82,3.0
189117,82,85,3.0
188803,82,82,2.0
187936,82,82,2.0
187754,82,82,2.0
186561,82,83,3.0
186345,82,82,2.0
185103,82,82,2.0
184484,82,82,3.0
184431,82,82,2.0
184200,82,82,3.0
184144,82,82,3.0
183711,82,82,2.0
183574,82,82,2.0
183498,82,82,2.0
183376,82,82,2.0
183280,82,82,3.0
181786,82,82,3.0
181291,82,82,3.0
179847,82,82,3.0
178509,82,82,3.0
173521,82,82,3.0
171897,82,82,3.0
170481,82,82,3.0
168530,82,82,2.0
168435,82,82,3.0
168354,82,82,2.0
165229,82,82,3.0
163489,82,82,2.0
158963,82,82,3.0
146530,82,82,4.0
113422,82,82,3.0
106231,82,82,3.0
48940,82,82,4.0
5479,82,82,4.0
231677,81,89,2.0
230271,81,81,1.0
229906,81,89,1.0
229237,81,87,2.0
228702,81,89,1.0
227928,81,86,2.0
226456,81,86,1.0
226271,81,89,1.0
225508,81,87,2.0
222509,81,88,1.0
221992,81,86,3.0
216475,81,81,1.0
216451,81,82,2.0
216409,81,84,2.0
216352,81,84,2.0
216201,81,87,2.0
214997,81,87,1.0
213661,81,88,2.0
212814,81,84,3.0
212151,81,86,1.0
210864,81,86,2.0
210406,81,88,3.0
210243,81,85,3.0
210035,81,87,3.0
209889,81,86,3.0
208135,81,85,2.0
207877,81,84,1.0
207664,81,81,3.0
206467,81,83,2.0
205923,81,84,2.0
205362,81,84,2.0
205175,81,88,3.0
204923,81,84,2.0
204884,81,86,2.0
204024,81,82,2.0
203890,81,84,2.0
203486,81,83,2.0
202857,81,81,3.0
202685,81,82,2.0
201454,81,82,2.0
200726,81,84,2.0
200647,81,81,3.0
200610,81,83,2.0
200454,81,85,2.0
199715,81,81,2.0
199503,81,84,3.0
199434,81,81,3.0
199042,81,81,2.0
196889,81,81,2.0
195086,81,82,2.0
193532,81,81,3.0
193348,81,81,3.0
193165,81,83,3.0
193105,81,85,2.0
192641,81,82,2.0
191740,81,81,3.0
190972,81,81,2.0
190813,81,82,3.0
189881,81,82,3.0
189362,81,81,4.0
189358,81,81,3.0
188988,81,85,2.0
187491,81,81,1.0
187072,81,81,2.0
185239,81,82,3.0
183900,81,81,3.0
182494,81,81,3.0
179784,81,81,3.0
179645,81,81,3.0
177458,81,81,2.0
177326,81,81,3.0
175379,81,81,2.0
173909,81,81,3.0
173771,81,81,3.0
173221,81,81,3.0
172522,81,81,2.0
170368,81,82,2.0
169595,81,81,3.0
169416,81,81,3.0
169195,81,81,2.0
167905,81,81,2.0
164835,81,81,2.0
162347,81,81,3.0
161956,81,81,3.0
159261,81,81,2.0
159145,81,81,3.0
157960,81,81,2.0
156519,81,81,3.0
144622,81,81,2.0
139068,81,81,3.0
138412,81,81,2.0
112316,81,81,3.0
45186,81,81,2.0
239207,80,85,1.0
235790,80,89,1.0
235569,80,89,1.0
234906,80,90,1.0
234153,80,87,1.0
234035,80,88,1.0
230977,80,84,1.0
230347,80,80,1.0
230234,80,80,1.0
230142,80,87,1.0
228229,80,83,1.0
227536,80,80,2.0
226851,80,86,1.0
226790,80,85,1.0
226753,80,85,2.0
226226,80,86,1.0
224334,80,80,2.0
224293,80,87,2.0
221639,80,85,1.0
221540,80,80,1.0
220477,80,86,2.0
219985,80,81,2.0
219809,80,85,2.0
218339,80,86,2.0
216547,80,83,2.0
215785,80,85,2.0
215316,80,85,3.0
214584,80,80,1.0
212692,80,85,2.0
212623,80,85,1.0
211748,80,84,2.0
211688,80,85,2.0
211575,80,85,3.0
211256,80,82,2.0
210896,80,85,2.0
209960,80,83,1.0
208333,80,85,2.0
208128,80,84,3.0
207862,80,82,2.0
207599,80,83,2.0
207439,80,85,2.0
206413,80,80,1.0
205988,80,85,2.0
205705,80,80,1.0
205693,80,83,1.0
205525,80,81,2.0
205114,80,80,1.0
205070,80,81,1.0
204529,80,84,2.0
204399,80,80,1.0
204120,80,81,1.0
203841,80,83,1.0
203747,80,85,3.0
203605,80,81,2.0
203042,80,85,2.0
202849,80,81,2.0
202695,80,83,1.0
202477,80,82,3.0
202335,80,84,2.0
201377,80,84,2.0
201144,80,80,2.0
201119,80,80,1.0
200536,80,81,1.0
200458,80,84,2.0
200318,80,81,1.0
200315,80,80,2.0
199206,80,80,3.0
199110,80,81,2.0
199069,80,82,3.0
198784,80,85,2.0
197853,80,83,2.0
197061,80,82,2.0
195861,80,80,2.0
194879,80,80,2.0
194794,80,80,3.0
194229,80,81,2.0
194022,80,80,2.0
193886,80,80,2.0
193352,80,83,3.0
193061,80,80,2.0
192789,80,80,2.0
191687,80,80,2.0
190815,80,80,3.0
190778,80,83,2.0
190544,80,81,2.0
190286,80,80,2.0
190264,80,80,3.0
189805,80,80,2.0
189690,80,80,2.0
189575,80,83,2.0
189354,80,80,2.0
189251,80,80,2.0
188943,80,81,2.0
188942,80,82,2.0
188829,80,80,3.0
188388,80,80,2.0
188005,80,81,2.0
186569,80,80,2.0
186547,80,80,3.0
186537,80,80,1.0
185122,80,80,2.0
184120,80,80,3.0
183427,80,80,2.0
180819,80,80,3.0
180334,80,80,2.0
180216,80,80,2.0
180175,80,80,3.0
178424,80,80,2.0
177604,80,80,2.0
177600,80,80,2.0
176915,80,80,2.0
176600,80,80,3.0
176376,80,80,2.0
176104,80,80,2.0
173373,80,80,3.0
173208,80,80,2.0
172114,80,80,2.0
171833,80,80,3.0
171579,80,80,2.0
170815,80,80,2.0
166706,80,80,3.0
165109,80,80,2.0
164468,80,80,3.0
163711,80,80,3.0
159147,80,80,2.0
158625,80,80,3.0
156713,80,80,2.0
153244,80,80,3.0
150418,80,80,3.0
148119,80,80,3.0
147782,80,80,2.0
146760,80,80,3.0
146748,80,80,3.0
146562,80,80,3.0
146536,80,80,2.0
142754,80,80,4.0
140293,80,80,2.0
139997,80,80,3.0
121944,80,80,4.0
110677,80,80,2.0
54050,80,80,4.0
49369,80,80,3.0
49031,80,80,2.0
244369,79,86,1.0
239818,79,85,1.0
236632,79,86,2.0
233419,79,86,1.0
232097,79,86,2.0
231943,79,86,1.0
231478,79,86,1.0
230938,79,88,2.0
230498,79,79,1.0
230312,79,79,1.0
230251,79,79,1.0
230212,79,79,1.0
230201,79,79,1.0
229909,79,81,1.0
228941,79,87,2.0
227796,79,87,3.0
227290,79,80,1.0
227234,79,84,2.0
226161,79,87,1.0
225997,79,81,1.0
225953,79,86,1.0
225711,79,86,2.0
225663,79,85,1.0
225647,79,80,1.0
224254,79,85,1.0
224069,79,80,2.0
223682,79,79,1.0
223061,79,84,2.0
222028,79,84,3.0
221660,79,85,2.0
220018,79,82,1.0
219932,79,85,1.0
219576,79,80,1.0
216497,79,84,2.0
216388,79,86,2.0
216150,79,81,2.0
215353,79,82,2.0
215061,79,79,2.0
215057,79,80,1.0
214947,79,84,1.0
213991,79,84,1.0
213516,79,84,1.0
213160,79,86,1.0
212150,79,83,2.0
211368,79,83,2.0
211267,79,81,1.0
210455,79,83,2.0
210411,79,85,1.0
210324,79,80,2.0
208920,79,84,1.0
208334,79,79,3.0
207993,79,82,2.0
207939,79,79,1.0
207732,79,80,2.0
206652,79,83,2.0
206304,79,81,1.0
205407,79,82,2.0
205193,79,83,1.0
205192,79,86,2.0
204638,79,81,2.0
204614,79,80,2.0
204525,79,80,2.0
204311,79,83,2.0
204277,79,79,2.0
204082,79,84,2.0
203775,79,83,2.0
203757,79,80,1.0
203483,79,81,2.0
203362,79,85,1.0
203106,79,82,2.0
202648,79,83,2.0
202562,79,84,2.0
202325,79,80,1.0
202201,79,80,1.0
201862,79,79,3.0
201519,79,84,1.0
201510,79,82,2.0
201508,79,79,2.0
201505,79,79,1.0
201325,79,79,2.0
201143,79,82,1.0
201042,79,80,2.0
200641,79,79,2.0
200260,79,80,2.0
200155,79,81,1.0
199823,79,82,1.0
199767,79,80,2.0
199561,79,79,3.0
199439,79,82,2.0
199416,79,79,1.0
199304,79,80,2.0
199189,79,82,2.0
199005,79,81,1.0
198715,79,79,2.0
198200,79,79,2.0
198118,79,80,2.0
198031,79,82,1.0
197083,79,79,2.0
196978,79,81,1.0
194957,79,80,2.0
194761,79,79,1.0
193738,79,79,2.0
193601,79,81,1.0
193171,79,79,1.0
192991,79,80,2.0
192679,79,79,1.0
192678,79,79,1.0
192598,79,79,2.0
192064,79,80,2.0
191076,79,79,1.0
190456,79,80,2.0
190243,79,79,2.0
190149,79,79,2.0
189682,79,79,1.0
189681,79,79,2.0
189560,79,79,2.0
189461,79,81,3.0
189433,79,79,2.0
189423,79,79,2.0
189271,79,80,2.0
188081,79,79,3.0
187735,79,79,3.0
187347,79,79,2.0
187052,79,80,2.0
186832,79,79,2.0
186148,79,80,2.0
186132,79,79,2.0
185431,79,79,3.0
184949,79,79,1.0
184881,79,79,3.0
184826,79,79,3.0
184134,79,79,2.0
183909,79,79,2.0
183892,79,79,1.0
183580,79,79,2.0
183497,79,79,2.0
183285,79,80,3.0
182002,79,80,2.0
181820,79,79,3.0
178311,79,79,3.0
178224,79,79,3.0
177723,79,79,1.0
177644,79,79,2.0
177633,79,79,1.0
177358,79,79,2.0
176944,79,79,3.0
176731,79,79,2.0
176550,79,79,2.0
173426,79,79,3.0
172723,79,79,3.0
170797,79,79,3.0
169705,79,79,2.0
169115,79,79,2.0
164859,79,79,3.0
164029,79,79,1.0
163264,79,79,2.0
161648,79,79,3.0
160741,79,79,2.0
159065,79,79,3.0
158232,79,79,3.0
158133,79,79,2.0
157301,79,79,3.0
152908,79,79,2.0
150724,79,79,3.0
142707,79,79,2.0
137351,79,79,2.0
124375,79,79,2.0
121933,79,79,2.0
108080,79,79,3.0
53050,79,79,3.0
80,79,79,2.0
242348,78,83,1.0
240130,78,87,1.0
235805,78,87,2.0
235374,78,81,1.0
235212,78,86,1.0
232862,78,84,1.0
232432,78,86,1.0
232244,78,84,1.0
231691,78,90,2.0
231281,78,88,1.0
230988,78,84,1.0
230431,78,78,1.0
230360,78,78,1.0
230269,78,78,1.0
230184,78,78,1.0
230020,78,80,1.0
229984,78,85,1.0
229406,78,81,1.0
228881,78,88,1.0
228618,78,86,1.0
228251,78,84,2.0
227476,78,79,1.0
226766,78,84,1.0
226379,78,78,1.0
226377,78,82,1.0
226168,78,84,1.0
226078,78,80,3.0
225309,78,85,1.0
225161,78,86,1.0
225100,78,88,1.0
224458,78,86,2.0
224309,78,83,1.0
224116,78,78,1.0
224031,78,79,1.0
223952,78,80,1.0
223874,78,83,2.0
223689,78,80,1.0
223627,78,78,2.0
222994,78,83,1.0
222709,78,78,1.0
221342,78,86,1.0
220523,78,85,1.0
220407,78,80,1.0
219693,78,80,2.0
217940,78,79,1.0
216816,78,85,2.0
216700,78,79,1.0
216655,78,79,2.0
216435,78,84,1.0
216393,78,87,2.0
216373,78,78,1.0
216266,78,83,2.0
216189,78,81,1.0
216065,78,81,2.0
215792,78,81,2.0
215466,78,81,2.0
215333,78,79,2.0
215330,78,83,1.0
215259,78,81,1.0
214766,78,78,1.0
214394,78,85,1.0
214026,78,81,1.0
213732,78,82,1.0
213655,78,84,1.0
213400,78,80,2.0
213296,78,83,2.0
212977,78,84,1.0
212811,78,83,2.0
212501,78,84,2.0
212213,78,80,1.0
212196,78,84,1.0
212187,78,81,1.0
212153,78,82,2.0
211706,78,83,1.0
210935,78,83,2.0
210665,78,79,2.0
210513,78,80,2.0
209307,78,80,2.0
208777,78,83,3.0
208620,78,80,1.0
208520,78,78,1.0
208450,78,84,1.0
208330,78,84,1.0
208268,78,86,2.0
208104,78,82,1.0
207948,78,83,2.0
207791,78,80,2.0
207421,78,84,1.0
206511,78,83,2.0
206058,78,81,2.0
205976,78,79,2.0
205943,78,78,2.0
205850,78,78,2.0
205659,78,84,1.0
205633,78,78,2.0
205431,78,79,1.0
205083,78,78,2.0
204838,78,79,3.0
204819,78,78,2.0
204385,78,78,1.0
204259,78,81,2.0
204240,78,80,2.0
203895,78,79,1.0
203886,78,79,1.0
203487,78,83,1.0
203485,78,83,2.0
203299,78,78,2.0
202935,78,79,1.0
202851,78,78,2.0
202642,78,81,1.0
201262,78,78,2.0
201046,78,80,2.0
200677,78,80,1.0
200607,78,80,1.0
200529,78,78,2.0
199986,78,78,1.0
199915,78,81,1.0
199827,78,78,2.0
199602,78,81,2.0
199577,78,83,1.0
199576,78,80,2.0
199354,78,78,2.0
198648,78,78,2.0
198513,78,82,1.0
197948,78,80,2.0
197242,78,79,3.0
197225,78,78,2.0
196934,78,81,2.0
143001,78,78,3.0
184477,78,80,2.0
182945,78,78,2.0
158626,78,78,3.0
172962,78,78,2.0
173474,78,78,2.0
178085,78,78,2.0
189606,78,78,2.0
171688,78,78,3.0
158121,78,78,2.0
153260,78,78,2.0
193198,78,80,2.0
184252,78,78,2.0
186302,78,78,1.0
159171,78,78,2.0
193476,78,78,2.0
187598,78,80,2.0
174543,78,78,3.0
180432,78,78,3.0
186581,78,78,3.0
187607,78,78,2.0
182744,78,78,2.0
161754,78,78,2.0
163806,78,78,2.0
182495,78,78,2.0
189156,78,78,2.0
169706,78,78,2.0
173546,78,79,2.0
180714,78,78,2.0
170733,78,78,3.0
189165,78,80,2.0
156142,78,78,2.0
178415,78,78,2.0
178416,78,78,2.0
164082,78,78,2.0
193011,78,78,1.0
150516,78,78,3.0
173306,78,78,2.0
172287,78,78,1.0
184575,78,78,2.0
205569,77,82,2.0
177666,77,77,2.0
185090,77,77,2.0
229636,77,82,1.0
167431,77,77,2.0
236295,77,85,1.0
177159,77,77,2.0
215051,77,77,3.0
183820,77,77,1.0
189196,77,77,2.0
208141,77,81,1.0
146701,77,77,2.0
181262,77,77,1.0
203535,77,81,2.0
199952,77,77,2.0
203280,77,77,2.0
156432,77,77,2.0
135697,77,77,2.0
183569,77,77,2.0
146963,77,77,2.0
212755,77,82,1.0
219411,77,78,2.0
220948,77,78,1.0
187924,77,78,2.0
207894,77,77,2.0
175895,77,77,2.0
176919,77,77,3.0
214040,77,78,1.0
220697,77,85,1.0
162329,77,77,2.0
184089,77,77,2.0
198683,77,78,2.0
135451,77,77,2.0
186395,77,77,1.0
188955,77,77,1.0
146460,77,77,2.0
230685,77,80,1.0
219681,77,82,1.0
231969,77,81,1.0
186146,77,77,3.0
221219,77,83,1.0
200228,77,78,1.0
210212,77,77,2.0
202789,77,78,1.0
224294,77,84,1.0
215079,77,77,1.0
230183,77,77,1.0
110376,77,77,2.0
211241,77,78,1.0
185132,77,77,2.0
190765,77,78,2.0
163631,77,77,3.0
183855,77,77,2.0
200752,77,77,2.0
196144,77,77,3.0
221491,77,84,2.0
196147,77,77,1.0
157492,77,77,2.0
182836,77,77,2.0
204341,77,77,1.0
142902,77,77,2.0
196150,77,77,2.0
227127,77,83,1.0
199737,77,77,1.0
223033,77,83,1.0
213051,77,79,1.0
214332,77,77,1.0
209981,77,80,1.0
189757,77,77,1.0
215871,77,80,2.0
219455,77,82,1.0
230463,77,77,1.0
183871,77,77,2.0
205632,77,82,2.0
169792,77,77,2.0
162369,77,77,2.0
189250,77,77,2.0
189506,77,77,1.0
203843,77,77,1.0
148803,77,77,3.0
216643,77,84,1.0
193862,77,77,1.0
204105,77,78,1.0
186953,77,77,2.0
192073,77,77,2.0
192841,77,77,2.0
220746,77,84,1.0
226378,77,77,1.0
178250,77,77,1.0
206411,77,77,1.0
202316,77,77,2.0
140620,77,77,2.0
214092,77,82,1.0
179789,77,77,2.0
115533,77,77,3.0
191053,77,77,2.0
182862,77,77,3.0
190799,77,77,2.0
152912,77,77,1.0
155984,77,77,1.0
137809,77,77,3.0
214097,77,81,1.0
193361,77,77,2.0
223058,77,80,1.0
152916,77,77,1.0
194644,77,78,2.0
185174,77,77,2.0
195671,77,77,1.0
201049,77,79,2.0
153177,77,77,2.0
233049,77,89,1.0
167514,77,77,2.0
207707,77,77,2.0
220253,77,83,2.0
183389,77,77,2.0
188253,77,77,2.0
192350,77,77,1.0
193887,77,77,1.0
140384,77,77,2.0
176994,77,77,1.0
182882,77,77,2.0
183394,77,77,2.0
229476,77,84,1.0
225126,77,81,1.0
215399,77,83,1.0
154472,77,77,1.0
181098,77,77,2.0
193130,77,77,3.0
185195,77,77,1.0
188268,77,77,1.0
188524,77,78,2.0
223597,77,81,1.0
227950,77,83,2.0
50542,77,77,2.0
172143,77,77,2.0
235889,77,87,1.0
208498,77,80,2.0
183666,77,77,2.0
205427,77,78,1.0
216437,77,82,2.0
200054,77,80,2.0
206198,77,79,2.0
226166,77,86,1.0
157304,77,77,3.0
168312,77,77,2.0
212602,77,83,1.0
192123,77,78,1.0
230524,77,77,1.0
213629,77,82,1.0
187517,77,77,1.0
212096,77,79,1.0
143745,77,77,3.0
170370,77,77,1.0
183426,77,77,2.0
188802,77,77,2.0
202884,77,80,2.0
189060,77,77,2.0
193158,77,78,2.0
199559,77,78,2.0
201095,77,77,1.0
212616,77,83,1.0
158856,77,77,2.0
172937,77,77,1.0
188041,77,77,1.0
189324,77,78,1.0
191628,77,78,1.0
229261,77,85,1.0
229773,77,83,1.0
212878,77,82,2.0
213135,77,82,2.0
205201,77,83,1.0
206225,77,77,2.0
212626,77,83,1.0
216466,77,80,2.0
178322,77,77,3.0
215699,77,80,2.0
237715,77,89,1.0
139668,77,77,2.0
212886,77,84,2.0
165526,77,77,3.0
175254,77,77,2.0
199575,77,77,1.0
186521,77,77,1.0
211354,77,82,2.0
53914,77,77,2.0
190875,77,77,2.0
201884,77,78,1.0
210333,77,77,2.0
176285,77,77,2.0
201118,77,78,2.0
152993,77,77,2.0
213666,77,85,1.0
182179,77,77,2.0
134820,77,77,2.0
215716,77,82,1.0
152996,77,77,2.0
152997,77,77,2.0
224933,77,80,2.0
152999,77,77,2.0
224425,77,82,2.0
200875,77,77,1.0
199852,77,78,2.0
194222,77,78,1.0
207537,77,81,2.0
225713,77,85,1.0
230578,77,84,1.0
187570,77,77,1.0
193714,77,77,2.0
221363,77,83,2.0
224179,77,82,1.0
232883,77,80,1.0
206516,77,84,1.0
211381,77,80,2.0
226229,77,84,1.0
184501,77,78,1.0
220854,77,85,1.0
229558,77,88,1.0
188086,77,77,2.0
215223,77,81,1.0
237239,77,83,1.0
198584,77,77,2.0
204472,77,79,1.0
213432,77,78,1.0
166072,77,77,2.0
176571,77,77,3.0
183483,77,77,3.0
156092,77,77,2.0
198077,77,77,2.0
202429,77,79,1.0
203965,77,82,2.0
232381,77,85,1.0
192445,77,78,2.0
208574,77,78,2.0
207807,77,81,1.0
190143,77,77,1.0
222400,77,85,1.0
210625,77,83,1.0
201922,77,80,2.0
221634,77,79,1.0
225474,77,80,1.0
183491,77,79,1.0
186307,77,77,2.0
192708,77,77,2.0
115909,77,77,2.0
212678,77,82,1.0
189127,77,79,1.0
140233,77,77,3.0
172233,77,77,2.0
199626,77,77,2.0
238794,77,92,1.0
138699,77,77,2.0
192715,77,78,1.0
203980,77,80,2.0
137677,77,77,2.0
189390,77,77,2.0
227535,77,89,1.0
232656,77,85,1.0
199633,77,77,1.0
231633,77,86,2.0
190674,77,77,2.0
201939,77,80,1.0
216531,77,79,1.0
230613,77,87,2.0
183512,77,77,2.0
212442,77,82,1.0
224218,77,82,1.0
216796,77,80,2.0
223197,77,83,1.0
186589,77,77,2.0
194781,77,78,1.0
222943,77,77,1.0
170719,77,77,2.0
198368,77,77,1.0
199393,77,77,2.0
189410,77,77,1.0
143587,77,77,2.0
245221,77,78,2.0
173030,77,77,1.0
224232,77,89,2.0
220651,77,83,1.0
230379,77,77,1.0
192492,77,77,2.0
228336,77,82,2.0
198129,77,77,2.0
234226,77,83,1.0
172018,77,77,1.0
199667,77,78,2.0
212212,77,81,2.0
167669,77,77,1.0
236791,77,84,1.0
225018,77,81,2.0
173818,77,77,2.0
208379,77,77,1.0
222715,77,82,2.0
188155,77,77,2.0
198140,77,78,2.0
234236,77,86,2.0
202493,77,77,2.0
220925,77,82,1.0
202750,77,80,1.0
205566,77,79,2.0
188414,77,77,1.0
206591,77,82,2.0
219391,77,82,1.0
225024,76,82,1.0
190209,76,76,1.0
172290,76,76,1.0
197891,76,79,1.0
186115,76,76,2.0
201988,76,76,2.0
220932,76,78,1.0
225028,76,81,1.0
200197,76,76,1.0
202501,76,81,1.0
221445,76,77,1.0
221701,76,82,1.0
212230,76,79,2.0
188166,76,76,1.0
146952,76,76,1.0
172553,76,76,1.0
171018,76,76,2.0
189963,76,76,2.0
188428,76,76,3.0
192012,76,80,3.0
205069,76,77,2.0
161805,76,76,2.0
183568,76,76,2.0
143121,76,76,2.0
210450,76,79,1.0
202515,76,79,2.0
195859,76,78,1.0
200212,76,76,1.0
213013,76,81,1.0
203030,76,79,2.0
211990,76,83,1.0
220182,76,83,1.0
200215,76,77,2.0
238359,76,86,1.0
230936,76,83,1.0
239641,76,85,1.0
186905,76,76,1.0
184858,76,76,1.0
205340,76,76,1.0
224540,76,82,1.0
229148,76,80,1.0
216349,76,83,1.0
185373,76,76,2.0
189725,76,76,2.0
205855,76,80,1.0
214047,76,77,1.0
193311,76,76,2.0
226592,76,85,2.0
241184,76,81,1.0
198946,76,76,2.0
232226,76,76,2.0
176930,76,76,2.0
179746,76,76,1.0
196899,76,76,1.0
229668,76,84,1.0
183332,76,76,2.0
198949,76,77,2.0
235813,76,82,1.0
215590,76,81,1.0
243238,76,76,1.0
191783,76,79,2.0
202024,76,77,2.0
187688,76,76,3.0
199977,76,76,1.0
223273,76,83,1.0
226601,76,78,1.0
189225,76,76,1.0
155946,76,76,2.0
228650,76,83,1.0
224811,76,81,1.0
189484,76,76,2.0
