ID,Name,Age,Nationality,Height,Weight,Body Type,Skill Moves,Preferred Foot,Position
198219,L. Insigne,27,Italy,5'4,130lbs,Normal,4.0,Right,LW
197781,Isco,26,Spain,5'9,174lbs,Normal,4.0,Right,LW
190460,C. Eriksen,26,Denmark,5'11,168lbs,Lean,4.0,Right,CAM
189242,Coutinho,26,Brazil,5'8,150lbs,Normal,5.0,Right,LW
188567,P. Aubameyang,29,Gabon,6'2,176lbs,Lean,4.0,Right,LM
178603,M. Hummels,29,Germany,6'3,203lbs,Normal,3.0,Right,LCB
176676,Marcelo,30,Brazil,5'9,176lbs,Normal,5.0,Left,LB
173731,G. Bale,28,Wales,6'1,181lbs,Lean,4.0,Left,ST
167948,H. Lloris,31,France,6'2,181lbs,Lean,1.0,Left,GK
167664,G. Higuaín,30,Argentina,6'1,196lbs,Normal,3.0,Right,LS
164240,Thiago Silva,33,Brazil,6'0,181lbs,Normal,2.0,Right,RCB
162835,S. Handanovič,33,Slovenia,6'4,203lbs,Normal,1.0,Right,GK
1179,G. Buffon,40,Italy,6'4,203lbs,Normal,1.0,Right,GK
205600,S. Umtiti,24,France,6'0,165lbs,Normal,2.0,Left,CB
201399,M. Icardi,25,Argentina,5'11,165lbs,Normal,3.0,Right,ST
201024,K. Koulibaly,27,Senegal,6'2,196lbs,Normal,2.0,Right,LCB
195864,P. Pogba,25,France,6'4,185lbs,Normal,5.0,Right,RDM
193041,K. Navas,31,Costa Rica,6'1,176lbs,Normal,1.0,Right,GK
192505,R. Lukaku,25,Belgium,6'3,207lbs,Stocky,3.0,Left,ST
192387,C. Immobile,28,Italy,6'1,187lbs,Normal,3.0,Right,ST
189332,Jordi Alba,29,Spain,5'7,150lbs,Normal,3.0,Left,LB
175943,D. Mertens,31,Belgium,5'7,134lbs,Normal,4.0,Right,RF
172871,J. Vertonghen,31,Belgium,6'2,190lbs,Normal,3.0,Left,LCB
171877,M. Hamšík,30,Slovakia,6'0,174lbs,Normal,3.0,Right,LCM
168651,I. Rakitić,30,Croatia,6'0,172lbs,Normal,3.0,Right,RCM
152729,Piqué,31,Spain,6'4,187lbs,Normal,2.0,Right,RCB
222492,L. Sané,22,Germany,6'0,165lbs,Lean,4.0,Left,LW
218667,Bernardo Silva,23,Portugal,5'8,141lbs,Lean,4.0,Left,RW
210257,Ederson,24,Brazil,6'2,190lbs,Normal,1.0,Left,GK
208722,S. Mané,26,Senegal,5'9,152lbs,Lean,4.0,Right,LM
203376,V. van Dijk,26,Netherlands,6'4,203lbs,Normal,2.0,Right,LCB
202652,R. Sterling,23,England,5'7,152lbs,Lean,4.0,Right,RW
201942,Roberto Firmino,26,Brazil,5'11,168lbs,Lean,4.0,Right,CAM
201535,R. Varane,25,France,6'3,179lbs,Lean,2.0,Right,RCB
199556,M. Verratti,25,Italy,5'5,132lbs,Normal,4.0,Right,LCM
191043,Alex Sandro,27,Brazil,5'11,176lbs,Normal,3.0,Left,LB
190483,Douglas Costa,27,Brazil,5'8,154lbs,Normal,5.0,Left,LM
189596,T. Müller,28,Germany,6'1,165lbs,Lean,3.0,Right,CAM
189509,Thiago,27,Spain,5'9,154lbs,Normal,5.0,Right,CM
188350,M. Reus,29,Germany,5'11,157lbs,Lean,4.0,Right,LM
184432,Azpilicueta,28,Spain,5'10,168lbs,Normal,2.0,Right,RB
184344,L. Bonucci,31,Italy,6'3,187lbs,Lean,2.0,Right,RCB
184087,T. Alderweireld,29,Belgium,6'1,179lbs,Normal,2.0,Right,RCB
180206,M. Pjanić,28,Bosnia Herzegovina,5'10,159lbs,Normal,3.0,Right,CDM
177509,M. Benatia,31,Morocco,6'2,207lbs,Normal,2.0,Right,CB
176635,M. Özil,29,Germany,5'11,168lbs,Lean,4.0,Left,CAM
135507,Fernandinho,33,Brazil,5'10,148lbs,Lean,3.0,Right,CDM
41,Iniesta,34,Spain,5'7,150lbs,Normal,4.0,Right,LF
232363,M. Škriniar,23,Slovakia,6'2,176lbs,Normal,2.0,Right,LCB
223848,S. Milinković-Savić,23,Serbia,6'3,168lbs,Normal,4.0,Right,CM
220834,Marco Asensio,22,Spain,6'0,168lbs,Normal,4.0,Left,RW
216594,N. Fekir,24,France,5'8,165lbs,Stocky,4.0,Left,CAM
212831,Alisson,25,Brazil,6'3,201lbs,Normal,1.0,Right,GK
212622,J. Kimmich,23,Germany,5'9,154lbs,Lean,3.0,Right,RCM
208421,Saúl,23,Spain,6'0,170lbs,Lean,3.0,Left,RCM
204485,R. Mahrez,27,Algeria,5'10,148lbs,Lean,5.0,Left,RW
197445,D. Alaba,26,Austria,5'11,168lbs,Lean,3.0,Left,LB
193747,Koke,26,Spain,5'9,163lbs,Normal,3.0,Right,LM
193301,A. Lacazette,27,France,5'9,161lbs,Normal,4.0,Right,ST
192774,K. Manolas,27,Greece,6'2,183lbs,Normal,2.0,Right,LCB
192366,N. Otamendi,30,Argentina,6'0,179lbs,Normal,2.0,Right,CB
189513,Parejo,29,Spain,6'0,163lbs,Lean,3.0,Right,RCM
187961,Paulinho,29,Brazil,6'0,157lbs,Lean,3.0,Right,LDM
186153,W. Szczęsny,28,Poland,6'5,198lbs,Lean,1.0,Right,GK
184941,A. Sánchez,29,Chile,5'7,163lbs,Normal,4.0,Right,RW
184267,Y. Brahimi,28,Algeria,5'9,146lbs,Normal,4.0,Right,LM
183907,J. Boateng,29,Germany,6'4,198lbs,Stocky,2.0,Right,RCB
181872,A. Vidal,31,Chile,5'11,165lbs,Normal,3.0,Right,CAM
181458,I. Perišić,29,Croatia,6'1,176lbs,Lean,4.0,Right,LM
180930,E. Džeko,32,Bosnia Herzegovina,6'4,185lbs,Lean,2.0,Right,ST
179846,S. Khedira,31,Germany,6'2,198lbs,Normal,2.0,Right,RCM
179844,Diego Costa,29,Spain,6'2,190lbs,Normal,2.0,Right,LS
178518,R. Nainggolan,30,Belgium,5'9,170lbs,Stocky,3.0,Right,CAM
171919,Naldo,35,Brazil,6'6,201lbs,Lean,2.0,Right,CB
170890,B. Matuidi,31,France,5'11,165lbs,Lean,2.0,Left,LM
168609,Miranda,33,Brazil,6'1,172lbs,Lean,2.0,Right,CB
165153,K. Benzema,30,France,6'1,179lbs,Normal,4.0,Right,ST
164169,Filipe Luís,32,Brazil,6'0,163lbs,Lean,3.0,Left,LB
139720,V. Kompany,32,Belgium,6'3,187lbs,Normal,2.0,Right,CB
120533,Pepe,35,Portugal,6'2,179lbs,Lean,2.0,Right,RCB
41236,Z. Ibrahimović,36,Sweden,6'5,209lbs,Normal,5.0,Right,RS
220793,D. Sánchez,22,Colombia,6'2,174lbs,Normal,2.0,Right,RCB
216460,J. Giménez,23,Uruguay,6'1,176lbs,Normal,2.0,Right,RCB
212462,Alex Telles,25,Brazil,5'11,157lbs,Lean,3.0,Left,LB
212218,A. Laporte,24,France,6'2,187lbs,Normal,2.0,Left,LCB
212198,Bruno Fernandes,23,Portugal,5'10,152lbs,Lean,4.0,Right,LCM
212190,N. Süle,22,Germany,6'5,214lbs,Stocky,2.0,Right,CB
211300,A. Martial,22,France,6'0,168lbs,Normal,4.0,Right,LW
211117,D. Alli,22,England,6'2,176lbs,Lean,4.0,Right,LCM
209499,Fabinho,24,Brazil,6'2,172lbs,Lean,3.0,Right,CDM
207865,Marquinhos,24,Brazil,6'0,165lbs,Lean,2.0,Right,LDM
207566,William Carvalho,26,Portugal,6'2,183lbs,Normal,3.0,Right,CDM
205498,Jorginho,26,Italy,5'11,148lbs,Lean,3.0,Right,CM
204970,F. Thauvin,25,France,5'10,154lbs,Normal,4.0,Left,RM
204963,Carvajal,26,Spain,5'8,161lbs,Stocky,3.0,Right,RB
202556,M. Depay,24,Netherlands,5'9,172lbs,Stocky,5.0,Right,ST
200104,H. Son,25,Korea Republic,6'0,143lbs,Lean,4.0,Right,LM
199482,A. Lopes,27,Portugal,6'0,179lbs,Normal,1.0,Left,GK
198176,S. de Vrij,26,Netherlands,6'2,172lbs,Normal,2.0,Right,CB
198009,M. Perin,25,Italy,6'2,170lbs,Lean,1.0,Right,GK
193082,J. Cuadrado,30,Colombia,5'10,159lbs,Lean,5.0,Right,RAM
192629,Iago Aspas,30,Spain,5'9,148lbs,Lean,3.0,Left,ST
192563,B. Leno,26,Germany,6'3,183lbs,Normal,1.0,Right,GK
191202,N. Matić,29,Serbia,6'4,187lbs,Lean,3.0,Left,CDM
190941,L. Hrádecký,28,Finland,6'4,187lbs,Lean,1.0,Right,GK
190584,Illarramendi,28,Spain,5'10,165lbs,Normal,4.0,Right,RDM
188377,K. Walker,28,England,6'0,154lbs,Normal,2.0,Right,RB
186942,I. Gündoğan,27,Germany,5'11,176lbs,Normal,4.0,Right,CM
185020,José Callejón,31,Spain,5'10,161lbs,Lean,3.0,Right,RM
183898,A. Di María,30,Argentina,5'11,152lbs,Lean,5.0,Left,RM
181783,M. Mandžukić,32,Croatia,6'3,187lbs,Lean,3.0,Right,ST
180403,Willian,29,Brazil,5'9,172lbs,Lean,4.0,Right,RW
178750,Sergio Asenjo,29,Spain,6'2,192lbs,Stocky,1.0,Right,GK
178562,E. Banega,30,Argentina,5'9,157lbs,Normal,4.0,Right,CDM
177413,A. Witsel,29,Belgium,6'2,179lbs,Lean,4.0,Right,LCM
177388,D. Payet,31,France,5'9,170lbs,Normal,4.0,Right,CAM
176769,Jonas,34,Brazil,5'11,163lbs,Lean,3.0,Right,ST
172879,Sokratis,30,Greece,6'1,187lbs,Normal,2.0,Right,RCB
167628,S. Ruffier,31,France,6'2,205lbs,Stocky,1.0,Right,GK
167397,Falcao,32,Colombia,5'10,159lbs,Normal,3.0,Right,RS
163587,K. Schmeichel,31,Denmark,6'2,196lbs,Stocky,1.0,Right,GK
157481,Raúl Albiol,32,Spain,6'3,181lbs,Lean,2.0,Right,RCB
143076,A. Gómez,30,Argentina,5'5,150lbs,Normal,4.0,Right,LS
137186,A. Barzagli,37,Italy,6'2,192lbs,Normal,2.0,Right,CB
20775,Quaresma,34,Portugal,5'9,148lbs,Normal,5.0,Right,RM
9014,A. Robben,34,Netherlands,5'11,176lbs,Normal,4.0,Left,RM
231443,O. Dembélé,21,France,5'10,148lbs,Lean,4.0,Left,RW
230666,Gabriel Jesus,21,Brazil,5'9,161lbs,Normal,4.0,Right,ST
230481,Ronaldo Cabrais,26,Brazil,5'10,165lbs,Normal,4.0,Right,RW
230375,Josué Chiamulera,26,Brazil,6'1,176lbs,Normal,2.0,Right,LCB
230294,Louri Beretta,26,Brazil,6'2,183lbs,Normal,4.0,Right,ST
225850,P. Kimpembe,22,France,6'2,176lbs,Normal,3.0,Left,LCB
220971,N. Keïta,23,Guinea,5'8,141lbs,Lean,4.0,Right,CM
219683,C. Tolisso,23,France,5'11,179lbs,Normal,3.0,Right,CM
213565,T. Lemar,22,France,5'7,137lbs,Lean,4.0,Left,LM
213345,K. Coman,22,France,5'10,157lbs,Lean,5.0,Right,LM
213331,J. Tah,22,Germany,6'5,214lbs,Stocky,2.0,Right,CB
212523,Anderson Talisca,24,Brazil,6'3,176lbs,Normal,4.0,Left,CAM
212188,T. Werner,22,Germany,5'11,165lbs,Normal,3.0,Right,RW
210008,A. Rabiot,23,France,6'4,176lbs,Lean,3.0,Left,CM
209658,L. Goretzka,23,Germany,6'2,174lbs,Lean,3.0,Right,CM
208808,Q. Promes,26,Netherlands,5'9,159lbs,Lean,5.0,Right,RM
208670,H. Ziyech,25,Morocco,5'11,143lbs,Lean,4.0,Left,RAM
208618,Lucas Vázquez,27,Spain,5'8,154lbs,Normal,4.0,Right,RW
208418,Y. Carrasco,24,Belgium,5'11,161lbs,Lean,4.0,Right,LM
208093,Gerard Moreno,26,Spain,5'11,170lbs,Lean,4.0,Left,LS
207863,Felipe,29,Brazil,6'3,190lbs,Normal,2.0,Right,RCB
207410,M. Kovačić,24,Croatia,5'9,172lbs,Normal,4.0,Right,LCM
206585,Kepa,23,Spain,6'1,187lbs,Lean,1.0,Right,GK
206545,Manu Trigueros,26,Spain,5'10,165lbs,Lean,4.0,Right,RCM
206113,S. Gnabry,22,Germany,5'9,165lbs,Normal,4.0,Right,ST
204935,J. Pickford,24,England,6'1,170lbs,Normal,1.0,Left,GK
204639,S. Savić,27,Montenegro,6'2,174lbs,Lean,2.0,Right,CB
203574,J. Stones,24,England,6'2,154lbs,Lean,3.0,Right,RCB
202651,Suso,24,Spain,5'9,154lbs,Lean,4.0,Left,RW
202166,J. Draxler,24,Germany,6'2,170lbs,Lean,4.0,Right,CM
201995,Felipe Anderson,25,Brazil,5'9,154lbs,Normal,4.0,Right,LM
200949,Lucas Moura,25,Brazil,5'9,154lbs,Normal,4.0,Right,RM
200888,Danilo Pereira,26,Portugal,6'2,183lbs,Normal,3.0,Right,CDM
200724,Nacho Fernández,28,Spain,5'11,168lbs,Normal,2.0,Right,CB
200316,T. Horn,25,Germany,6'4,198lbs,Normal,1.0,Left,GK
199914,Allan,27,Brazil,5'9,163lbs,Normal,4.0,Right,RCM
199845,F. Acerbi,30,Italy,6'4,194lbs,Normal,3.0,Left,CB
199564,Sergi Roberto,26,Spain,5'10,150lbs,Normal,4.0,Right,RB
198329,Rodrigo,27,Spain,6'0,170lbs,Lean,4.0,Left,ST
197965,Pizzi,28,Portugal,5'10,159lbs,Lean,3.0,Right,LCM
195365,K. Kampl,27,Slovenia,5'10,148lbs,Lean,3.0,Right,LCM
194404,Neto,28,Brazil,6'3,185lbs,Lean,1.0,Right,GK
193698,O. Baumann,28,Germany,6'2,181lbs,Normal,1.0,Right,GK
193474,I. Gueye,28,Senegal,5'9,146lbs,Lean,3.0,Right,RDM
192883,H. Mkhitaryan,29,Armenia,5'10,165lbs,Normal,4.0,Right,RM
192638,Marcos Alonso,27,Spain,6'2,192lbs,Lean,3.0,Left,LB
192593,D. Subašić,33,Croatia,6'3,185lbs,Normal,1.0,Right,GK
190547,K. Glik,30,Poland,6'3,176lbs,Normal,2.0,Right,RCB
189712,K. Strootman,28,Netherlands,6'1,176lbs,Normal,3.0,Left,CDM
189068,B. Dost,29,Netherlands,6'5,196lbs,Lean,2.0,Right,ST
188152,Oscar,26,Brazil,5'10,146lbs,Lean,4.0,Right,LCM
186627,M. Balotelli,27,Italy,6'2,194lbs,Normal,4.0,Right,LS
185221,Luiz Gustavo,30,Brazil,6'2,172lbs,Lean,3.0,Left,LCB
184942,Giuliano,28,Brazil,5'8,150lbs,Stocky,4.0,Right,CAM
179944,David Luiz,31,Brazil,6'2,190lbs,Normal,3.0,Right,LCB
179783,R. Fährmann,29,Germany,6'6,216lbs,Normal,1.0,Right,GK
178088,Juan Mata,30,Spain,5'7,139lbs,Lean,4.0,Left,RM
178086,Adán,31,Spain,6'3,203lbs,Normal,1.0,Left,GK
178005,Rui Patrício,30,Portugal,6'3,185lbs,Normal,1.0,Left,GK
177683,Y. Sommer,29,Switzerland,6'0,174lbs,Normal,1.0,Right,GK
177610,Javi Martínez,29,Spain,6'4,190lbs,Normal,2.0,Right,CDM
177457,L. Bender,29,Germany,6'1,179lbs,Lean,2.0,Right,RB
176266,Lucas Leiva,31,Brazil,5'10,172lbs,Normal,3.0,Right,LDM
163705,S. Mandanda,33,France,6'1,181lbs,Normal,1.0,Right,GK
162895,Cesc Fàbregas,31,Spain,5'10,170lbs,Normal,3.0,Right,CM
162240,M. Dembélé,30,Belgium,6'1,181lbs,Normal,4.0,Left,CM
156616,F. Ribéry,35,France,5'7,159lbs,Normal,5.0,Right,LM
104389,R. Jarstein,33,Norway,6'3,181lbs,Normal,1.0,Right,GK
53302,D. De Rossi,34,Italy,6'0,183lbs,Normal,2.0,Right,RDM
24630,Pepe Reina,35,Spain,6'2,203lbs,Normal,1.0,Right,GK
236583,J. Pavlenka,26,Czech Republic,6'5,179lbs,Lean,1.0,Right,GK
235243,M. de Ligt,18,Netherlands,6'2,196lbs,Normal,2.0,Right,RCB
231866,Rodri,22,Spain,6'3,181lbs,Lean,4.0,Right,CM
230658,Arthur,21,Brazil,5'7,161lbs,Normal,4.0,Right,LCM
230621,G. Donnarumma,19,Italy,6'5,198lbs,Normal,1.0,Right,GK
230258,Rosberto Dourado,30,Brazil,5'9,154lbs,Lean,2.0,Right,RCM
230225,Juiano Mestres,34,Brazil,5'11,181lbs,Normal,2.0,Right,RCB
230168,Raphaelito Anjos,30,Brazil,6'3,187lbs,Normal,1.0,Right,GK
227055,Gelson Martins,23,Portugal,5'8,159lbs,Lean,5.0,Right,RM
224411,Gonçalo Guedes,21,Portugal,5'10,150lbs,Normal,4.0,Right,LM
223959,L. Torreira,22,Uruguay,5'6,141lbs,Normal,3.0,Right,LCM
222737,Malcom,21,Brazil,5'8,163lbs,Normal,4.0,Left,RW
221087,Pau López,23,Spain,6'2,170lbs,Lean,1.0,Left,GK
220814,L. Hernández,22,France,6'0,168lbs,Normal,3.0,Left,LB
220440,C. Lenglet,23,France,6'1,179lbs,Lean,2.0,Left,LCB
216354,A. Kramarić,27,Croatia,5'10,161lbs,Normal,4.0,Right,LCM
216267,A. Robertson,24,Scotland,5'10,141lbs,Lean,3.0,Left,LB
216194,Dani García,28,Spain,5'11,176lbs,Stocky,3.0,Right,RCM
212404,F. Bernardeschi,24,Italy,6'1,170lbs,Lean,5.0,Left,RM
212194,J. Brandt,22,Germany,6'1,185lbs,Lean,4.0,Right,LM
211320,D. Rugani,23,Italy,6'3,185lbs,Lean,2.0,Right,CB
210617,Samu Castillejo,23,Spain,6'0,148lbs,Lean,4.0,Left,RM
210514,João Cancelo,24,Portugal,6'0,163lbs,Lean,4.0,Right,RB
210413,A. Romagnoli,23,Italy,6'2,172lbs,Normal,2.0,Left,LCB
209989,T. Partey,25,Ghana,6'1,170lbs,Lean,3.0,Right,CDM
209297,Fred,25,Brazil,5'7,141lbs,Lean,4.0,Left,CM
208830,J. Vardy,31,England,5'10,163lbs,Lean,3.0,Right,ST
208596,A. Belotti,24,Italy,5'11,159lbs,Normal,3.0,Right,LS
208448,E. Forsberg,26,Sweden,5'10,163lbs,Normal,4.0,Right,LM
207494,J. Lingard,25,England,5'9,137lbs,Lean,4.0,Right,CAM
207471,F. Vázquez,29,Argentina,6'1,181lbs,Normal,4.0,Left,LCM
205678,E. Višća,28,Bosnia Herzegovina,5'8,139lbs,Lean,4.0,Right,RM
205452,A. Rüdiger,25,Germany,6'3,187lbs,Lean,2.0,Right,CB
203551,A. Florenzi,27,Italy,5'8,148lbs,Lean,4.0,Right,RB
203263,H. Maguire,25,England,6'4,220lbs,Stocky,2.0,Right,LCB
202371,T. Meunier,26,Belgium,6'3,198lbs,Normal,3.0,Right,RM
201956,S. Sané,27,Senegal,6'5,187lbs,Lean,3.0,Right,CB
201455,G. Kondogbia,25,Central African Rep.,6'2,176lbs,Lean,4.0,Left,CM
201400,Rafinha,25,Brazil,5'9,157lbs,Normal,4.0,Left,CAM
201305,Gabriel Paulista,27,Brazil,6'2,174lbs,Lean,2.0,Right,LCB
201153,Morata,25,Spain,6'2,187lbs,Normal,3.0,Right,ST
199987,J. Cillessen,29,Netherlands,6'1,183lbs,Normal,1.0,Right,GK
199451,W. Ben Yedder,27,France,5'7,150lbs,Normal,4.0,Right,RS
198951,C. Bakambu,27,DR Congo,6'0,161lbs,Normal,3.0,Right,ST
198950,Pablo Sarabia,26,Spain,5'9,154lbs,Normal,4.0,Left,RCM
198717,W. Zaha,25,Ivory Coast,5'11,146lbs,Lean,5.0,Right,LS
198706,Luis Alberto,25,Spain,6'0,163lbs,Lean,4.0,Right,CF
198164,Jonathan Viera,28,Spain,5'7,141lbs,Normal,4.0,Right,LF
198141,Bartra,27,Spain,6'0,161lbs,Lean,3.0,Right,CB
197655,S. Coates,27,Uruguay,6'5,203lbs,Normal,2.0,Right,RCB
195093,Willian José,26,Brazil,6'2,205lbs,Normal,4.0,Right,ST
193525,Mário Fernandes,27,Russia,6'2,176lbs,Lean,3.0,Right,RB
193469,Víctor Ruiz,29,Spain,6'1,172lbs,Normal,2.0,Left,LCB
193283,T. Delaney,26,Denmark,6'0,174lbs,Normal,3.0,Left,LCM
192984,K. Casteels,26,Belgium,6'6,190lbs,Normal,1.0,Left,GK
192318,M. Götze,26,Germany,5'9,165lbs,Normal,4.0,Right,CM
192227,S. Mustafi,26,Germany,6'0,181lbs,Normal,2.0,Right,RCB
191180,J. Pastore,29,Argentina,6'2,172lbs,Lean,4.0,Right,CAM
189505,Pedro,30,Spain,5'7,143lbs,Lean,4.0,Right,RW
189125,G. Bonaventura,28,Italy,5'11,165lbs,Lean,4.0,Right,CM
189117,R. Bürki,27,Switzerland,6'2,187lbs,Normal,1.0,Right,GK
188803,Taison,30,Brazil,5'8,141lbs,Lean,4.0,Right,LM
187936,S. Nzonzi,29,France,6'5,165lbs,Lean,2.0,Right,CDM
187754,Marlos,30,Ukraine,5'9,152lbs,Normal,5.0,Left,RM
186561,A. Ramsey,27,Wales,6'0,168lbs,Lean,3.0,Right,CAM
186345,K. Trippier,27,England,5'10,159lbs,Normal,3.0,Right,RB
185103,A. Kolarov,32,Serbia,6'2,183lbs,Normal,3.0,Left,LB
184484,G. Sigurðsson,28,Iceland,6'1,181lbs,Normal,3.0,Right,CAM
184431,S. Giovinco,31,Italy,5'4,134lbs,Normal,4.0,Right,CF
184200,M. Arnautović,29,Austria,6'4,183lbs,Normal,4.0,Right,LS
184144,N. Gaitán,30,Argentina,5'8,146lbs,Lean,4.0,Left,CAM
183711,J. Henderson,28,England,6'0,176lbs,Normal,3.0,Right,RCM
183574,M. Kruse,30,Germany,5'11,168lbs,Normal,4.0,Left,ST
183498,M. Parolo,33,Italy,6'0,165lbs,Lean,3.0,Right,RDM
183376,L. Fejsa,29,Serbia,6'0,176lbs,Normal,2.0,Right,CDM
183280,A. Rami,32,France,6'3,198lbs,Normal,2.0,Right,RCB
181786,V. Ćorluka,32,Croatia,6'4,185lbs,Normal,3.0,Right,LCB
181291,G. Wijnaldum,27,Netherlands,5'9,152lbs,Lean,4.0,Right,CAM
179847,F. Fazio,31,Argentina,6'5,187lbs,Normal,2.0,Right,LCB
178509,O. Giroud,31,France,6'4,203lbs,Normal,3.0,Left,ST
173521,Marcano,31,Spain,6'2,170lbs,Lean,2.0,Left,CB
171897,A. Guardado,31,Mexico,5'7,148lbs,Lean,4.0,Left,CM
170481,E. Garay,31,Argentina,6'2,198lbs,Normal,2.0,Right,RCB
168530,Jardel,32,Brazil,6'4,192lbs,Normal,2.0,Right,LCB
168435,S. Sirigu,31,Italy,6'4,176lbs,Normal,1.0,Right,GK
168354,E. Viviano,32,Italy,6'5,198lbs,Stocky,1.0,Left,GK
165229,L. Koscielny,32,France,6'1,165lbs,Lean,2.0,Right,CB
163489,A. Consigli,31,Italy,6'2,181lbs,Lean,1.0,Right,GK
158963,L. Biglia,32,Argentina,5'10,139lbs,Normal,3.0,Right,CDM
146530,Dani Alves,35,Brazil,5'8,150lbs,Normal,4.0,Right,RB
113422,David Villa,36,Spain,5'9,152lbs,Normal,4.0,Right,ST
106231,Aduriz,37,Spain,6'0,172lbs,Normal,3.0,Right,ST
48940,P. Čech,36,Czech Republic,6'5,198lbs,Normal,1.0,Left,GK
5479,Casillas,37,Spain,6'1,185lbs,Normal,1.0,Left,GK
231677,M. Rashford,20,England,6'1,154lbs,Lean,4.0,Right,LW
230271,Laure Santeiro,30,Brazil,5'7,139lbs,Lean,4.0,Left,CAM
229906,L. Bailey,20,Jamaica,5'10,174lbs,Normal,4.0,Left,LM
229237,M. Akanji,22,Switzerland,6'2,187lbs,Normal,2.0,Right,LCB
228702,F. de Jong,21,Netherlands,5'11,154lbs,Lean,4.0,Right,LDM
227928,Nélson Semedo,24,Portugal,5'10,148lbs,Lean,4.0,Right,RB
226456,Pablo Fornals,22,Spain,5'10,148lbs,Normal,4.0,Right,CAM
226271,Fabián,22,Spain,6'2,154lbs,Lean,4.0,Left,LM
225508,E. Bailly,24,Ivory Coast,6'1,170lbs,Normal,2.0,Right,CB
222509,Dani Ceballos,21,Spain,5'10,154lbs,Normal,4.0,Right,LCM
221992,H. Lozano,22,Mexico,5'9,154lbs,Lean,4.0,Right,LS
216475,Morales,30,Spain,5'11,154lbs,Lean,4.0,Right,LS
216451,J. Seri,26,Ivory Coast,5'7,161lbs,Normal,3.0,Right,LDM
216409,M. Politano,24,Italy,5'7,148lbs,Normal,4.0,Left,RM
216352,M. Brozović,25,Croatia,5'11,150lbs,Lean,3.0,Right,LDM
216201,Williams,24,Spain,6'1,174lbs,Lean,4.0,Right,LW
214997,A. Correa,23,Argentina,5'7,150lbs,Lean,4.0,Right,RM
213661,A. Christensen,22,Denmark,6'2,179lbs,Lean,2.0,Right,LCB
212814,João Mário,25,Portugal,5'10,161lbs,Normal,4.0,Right,CAM
212151,T. Strakosha,23,Albania,6'4,172lbs,Lean,1.0,Right,GK
210864,E. Hysaj,24,Albania,6'0,154lbs,Normal,3.0,Right,RB
210406,P. Zieliński,24,Poland,5'11,165lbs,Lean,4.0,Right,RCM
210243,Ricardo Pereira,24,Portugal,5'9,154lbs,Lean,3.0,Right,RB
210035,Grimaldo,22,Spain,5'7,152lbs,Normal,3.0,Left,LB
209889,R. Guerreiro,24,Portugal,5'7,157lbs,Normal,4.0,Left,LM
208135,A. Doucouré,25,France,6'0,168lbs,Lean,3.0,Right,RDM
207877,J. Martínez,25,Venezuela,5'7,152lbs,Normal,3.0,Right,LS
