ID,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB
181458,82+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,81+3,81+3,81+3,83+3,79+3,79+3,79+3,83+3,75+3,72+3,72+3,72+3,75+3,72+3,68+3,68+3,68+3,72+3
180930,82+3,82+3,82+3,77+3,80+3,80+3,80+3,77+3,78+3,78+3,78+3,76+3,74+3,74+3,74+3,76+3,59+3,61+3,61+3,61+3,59+3,56+3,55+3,55+3,55+3,56+3
179846,77+3,77+3,77+3,76+3,78+3,78+3,78+3,76+3,79+3,79+3,79+3,77+3,82+3,82+3,82+3,77+3,78+3,83+3,83+3,83+3,78+3,77+3,81+3,81+3,81+3,77+3
179844,82+3,82+3,82+3,76+3,79+3,79+3,79+3,76+3,75+3,75+3,75+3,75+3,69+3,69+3,69+3,75+3,61+3,61+3,61+3,61+3,61+3,59+3,61+3,61+3,61+3,59+3
178518,78+3,78+3,78+3,80+3,81+3,81+3,81+3,80+3,81+3,81+3,81+3,80+3,83+3,83+3,83+3,80+3,83+3,84+3,84+3,84+3,83+3,83+3,81+3,81+3,81+3,83+3
171919,70+3,70+3,70+3,62+3,66+3,66+3,66+3,62+3,65+3,65+3,65+3,63+3,70+3,70+3,70+3,63+3,72+3,77+3,77+3,77+3,72+3,75+3,82+3,82+3,82+3,75+3
170890,74+3,74+3,74+3,76+3,76+3,76+3,76+3,76+3,77+3,77+3,77+3,78+3,79+3,79+3,79+3,78+3,83+3,83+3,83+3,83+3,83+3,82+3,81+3,81+3,81+3,82+3
168609,62+3,62+3,62+3,61+3,62+3,62+3,62+3,61+3,62+3,62+3,62+3,63+3,67+3,67+3,67+3,63+3,74+3,78+3,78+3,78+3,74+3,76+3,83+3,83+3,83+3,76+3
165153,81+3,81+3,81+3,81+3,82+3,82+3,82+3,81+3,81+3,81+3,81+3,80+3,73+3,73+3,73+3,80+3,57+3,56+3,56+3,56+3,57+3,53+3,49+3,49+3,49+3,53+3
164169,72+3,72+3,72+3,75+3,74+3,74+3,74+3,75+3,75+3,75+3,75+3,77+3,78+3,78+3,78+3,77+3,83+3,81+3,81+3,81+3,83+3,82+3,80+3,80+3,80+3,82+3
139720,63+3,63+3,63+3,60+3,61+3,61+3,61+3,60+3,62+3,62+3,62+3,62+3,67+3,67+3,67+3,62+3,73+3,77+3,77+3,77+3,73+3,75+3,83+3,83+3,83+3,75+3
120533,60+3,60+3,60+3,58+3,59+3,59+3,59+3,58+3,59+3,59+3,59+3,58+3,63+3,63+3,63+3,58+3,71+3,75+3,75+3,75+3,71+3,74+3,82+3,82+3,82+3,74+3
41236,82+4,82+4,82+4,77+4,80+4,80+4,80+4,77+4,79+4,79+4,79+4,76+4,73+4,73+4,73+4,76+4,55+4,57+4,57+4,57+4,55+4,51+4,52+4,52+4,52+4,51+4
220793,61+2,61+2,61+2,59+2,60+2,60+2,60+2,59+2,61+2,61+2,61+2,62+2,66+2,66+2,66+2,62+2,74+2,78+2,78+2,78+2,74+2,76+2,82+2,82+2,82+2,76+2
216460,56+2,56+2,56+2,51+2,51+2,51+2,51+2,51+2,50+2,50+2,50+2,53+2,56+2,56+2,56+2,53+2,71+2,73+2,73+2,73+2,71+2,74+2,83+2,83+2,83+2,74+2
212462,76+3,76+3,76+3,79+3,78+3,78+3,78+3,79+3,79+3,79+3,79+3,81+3,81+3,81+3,81+3,81+3,83+3,81+3,81+3,81+3,83+3,82+3,78+3,78+3,78+3,82+3
212218,64+2,64+2,64+2,61+2,63+2,63+2,63+2,61+2,63+2,63+2,63+2,64+2,70+2,70+2,70+2,64+2,75+2,79+2,79+2,79+2,75+2,77+2,82+2,82+2,82+2,77+2
212198,77+2,77+2,77+2,81+2,81+2,81+2,81+2,81+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,75+2,75+2,75+2,75+2,75+2,73+2,67+2,67+2,67+2,73+2
212190,56+2,56+2,56+2,49+2,52+2,52+2,52+2,49+2,52+2,52+2,52+2,52+2,60+2,60+2,60+2,52+2,69+2,75+2,75+2,75+2,69+2,73+2,81+2,81+2,81+2,73+2
211300,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,80+3,80+3,80+3,81+3,73+3,73+3,73+3,81+3,64+3,60+3,60+3,60+3,64+3,61+3,54+3,54+3,54+3,61+3
211117,81+3,81+3,81+3,81+3,82+3,82+3,82+3,81+3,83+3,83+3,83+3,81+3,83+3,83+3,83+3,81+3,76+3,78+3,78+3,78+3,76+3,75+3,73+3,73+3,73+3,75+3
209499,73+3,73+3,73+3,75+3,75+3,75+3,75+3,75+3,76+3,76+3,76+3,77+3,79+3,79+3,79+3,77+3,82+3,83+3,83+3,83+3,82+3,82+3,82+3,82+3,82+3,82+3
207865,59+3,59+3,59+3,63+3,61+3,61+3,61+3,63+3,63+3,63+3,63+3,67+3,69+3,69+3,69+3,67+3,79+3,80+3,80+3,80+3,79+3,80+3,82+3,82+3,82+3,80+3
207566,66+3,66+3,66+3,69+3,69+3,69+3,69+3,69+3,73+3,73+3,73+3,72+3,79+3,79+3,79+3,72+3,75+3,82+3,82+3,82+3,75+3,75+3,79+3,79+3,79+3,75+3
205498,70+2,70+2,70+2,77+2,76+2,76+2,76+2,77+2,80+2,80+2,80+2,79+2,82+2,82+2,82+2,79+2,77+2,79+2,79+2,79+2,77+2,75+2,72+2,72+2,72+2,75+2
204970,81+2,81+2,81+2,83+2,83+2,83+2,83+2,83+2,82+2,82+2,82+2,83+2,77+2,77+2,77+2,83+2,65+2,62+2,62+2,62+2,65+2,61+2,53+2,53+2,53+2,61+2
204963,65+3,65+3,65+3,71+3,68+3,68+3,68+3,71+3,70+3,70+3,70+3,74+3,73+3,73+3,73+3,74+3,82+3,80+3,80+3,80+3,82+3,82+3,80+3,80+3,80+3,82+3
202556,80+3,80+3,80+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,75+3,75+3,75+3,82+3,60+3,58+3,58+3,58+3,60+3,56+3,50+3,50+3,50+3,56+3
200104,82+3,82+3,82+3,84+3,84+3,84+3,84+3,84+3,83+3,83+3,83+3,82+3,76+3,76+3,76+3,82+3,65+3,61+3,61+3,61+3,65+3,61+3,53+3,53+3,53+3,61+3
199482,,,,,,,,,,,,,,,,,,,,,,,,,,
198176,57+3,57+3,57+3,58+3,58+3,58+3,58+3,58+3,61+3,61+3,61+3,60+3,67+3,67+3,67+3,60+3,73+3,77+3,77+3,77+3,73+3,76+3,82+3,82+3,82+3,76+3
198009,,,,,,,,,,,,,,,,,,,,,,,,,,
193082,76+3,76+3,76+3,82+3,81+3,81+3,81+3,82+3,81+3,81+3,81+3,81+3,77+3,77+3,77+3,81+3,76+3,72+3,72+3,72+3,76+3,75+3,69+3,69+3,69+3,75+3
192629,82+2,82+2,82+2,83+2,83+2,83+2,83+2,83+2,81+2,81+2,81+2,81+2,73+2,73+2,73+2,81+2,61+2,57+2,57+2,57+2,61+2,56+2,49+2,49+2,49+2,56+2
192563,,,,,,,,,,,,,,,,,,,,,,,,,,
191202,73+3,73+3,73+3,72+3,74+3,74+3,74+3,72+3,74+3,74+3,74+3,74+3,79+3,79+3,79+3,74+3,78+3,82+3,82+3,82+3,78+3,77+3,80+3,80+3,80+3,77+3
190941,,,,,,,,,,,,,,,,,,,,,,,,,,
190584,72+2,72+2,72+2,76+2,77+2,77+2,77+2,76+2,79+2,79+2,79+2,77+2,82+2,82+2,82+2,77+2,77+2,81+2,81+2,81+2,77+2,76+2,75+2,75+2,75+2,76+2
188377,72+3,72+3,72+3,75+3,74+3,74+3,74+3,75+3,73+3,73+3,73+3,77+3,75+3,75+3,75+3,77+3,82+3,78+3,78+3,78+3,82+3,82+3,79+3,79+3,79+3,82+3
186942,75+3,75+3,75+3,79+3,80+3,80+3,80+3,79+3,82+3,82+3,82+3,80+3,82+3,82+3,82+3,80+3,75+3,77+3,77+3,77+3,75+3,72+3,70+3,70+3,70+3,72+3
185020,79+3,79+3,79+3,82+3,82+3,82+3,82+3,82+3,81+3,81+3,81+3,81+3,73+3,73+3,73+3,81+3,67+3,60+3,60+3,60+3,67+3,63+3,54+3,54+3,54+3,63+3
183898,76+3,76+3,76+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,77+3,77+3,77+3,82+3,68+3,65+3,65+3,65+3,68+3,65+3,57+3,57+3,57+3,65+3
181783,81+3,81+3,81+3,76+3,78+3,78+3,78+3,76+3,76+3,76+3,76+3,76+3,75+3,75+3,75+3,76+3,71+3,72+3,72+3,72+3,71+3,71+3,72+3,72+3,72+3,71+3
