ID,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
201399,13.0,9.0,5.0,7.0,9.0
201024,7.0,11.0,7.0,13.0,5.0
195864,5.0,6.0,2.0,4.0,3.0
193041,90.0,81.0,75.0,82.0,90.0
192505,8.0,15.0,14.0,7.0,10.0
192387,6.0,8.0,15.0,12.0,6.0
189332,13.0,15.0,13.0,6.0,13.0
175943,7.0,10.0,8.0,10.0,4.0
172871,6.0,10.0,9.0,12.0,7.0
171877,8.0,6.0,4.0,14.0,14.0
168651,14.0,11.0,12.0,5.0,9.0
152729,10.0,11.0,14.0,15.0,8.0
222492,8.0,12.0,9.0,9.0,14.0
218667,9.0,10.0,14.0,12.0,9.0
210257,85.0,80.0,91.0,82.0,87.0
208722,10.0,10.0,15.0,7.0,14.0
203376,13.0,10.0,13.0,11.0,11.0
202652,15.0,12.0,12.0,15.0,9.0
201942,8.0,11.0,9.0,6.0,10.0
201535,11.0,11.0,9.0,5.0,14.0
199556,12.0,12.0,15.0,15.0,10.0
191043,7.0,7.0,9.0,12.0,5.0
190483,13.0,15.0,9.0,12.0,5.0
189596,6.0,7.0,11.0,14.0,14.0
189509,6.0,11.0,7.0,9.0,13.0
188350,12.0,12.0,13.0,13.0,11.0
184432,13.0,9.0,10.0,6.0,5.0
184344,2.0,2.0,3.0,2.0,4.0
184087,16.0,6.0,14.0,16.0,14.0
180206,7.0,7.0,13.0,7.0,8.0
177509,7.0,4.0,8.0,7.0,11.0
176635,6.0,14.0,10.0,6.0,14.0
135507,12.0,11.0,5.0,13.0,7.0
41,6.0,13.0,6.0,13.0,7.0
232363,10.0,13.0,12.0,8.0,12.0
223848,7.0,10.0,7.0,16.0,7.0
220834,13.0,9.0,6.0,12.0,10.0
216594,15.0,9.0,8.0,14.0,15.0
212831,83.0,81.0,85.0,84.0,88.0
212622,8.0,15.0,7.0,15.0,15.0
208421,7.0,13.0,12.0,10.0,9.0
204485,15.0,9.0,13.0,11.0,6.0
197445,5.0,7.0,14.0,15.0,9.0
193747,14.0,12.0,5.0,10.0,13.0
193301,11.0,6.0,9.0,5.0,6.0
192774,8.0,6.0,8.0,15.0,12.0
192366,12.0,5.0,8.0,11.0,12.0
189513,5.0,9.0,12.0,14.0,8.0
187961,16.0,16.0,11.0,6.0,8.0
186153,85.0,81.0,71.0,85.0,87.0
184941,10.0,10.0,15.0,12.0,13.0
184267,13.0,16.0,12.0,7.0,7.0
183907,7.0,12.0,15.0,6.0,5.0
181872,4.0,2.0,4.0,2.0,4.0
181458,6.0,7.0,10.0,9.0,6.0
180930,9.0,11.0,13.0,15.0,15.0
179846,11.0,9.0,5.0,15.0,8.0
179844,11.0,13.0,12.0,8.0,11.0
178518,11.0,11.0,14.0,8.0,11.0
171919,14.0,10.0,14.0,8.0,14.0
170890,8.0,11.0,5.0,10.0,14.0
168609,12.0,6.0,10.0,13.0,12.0
165153,13.0,11.0,5.0,5.0,7.0
164169,11.0,15.0,9.0,9.0,5.0
139720,10.0,9.0,5.0,8.0,6.0
120533,8.0,15.0,5.0,9.0,10.0
41236,13.0,15.0,10.0,9.0,12.0
220793,9.0,7.0,10.0,6.0,15.0
216460,9.0,11.0,7.0,10.0,15.0
212462,13.0,8.0,12.0,11.0,14.0
212218,10.0,11.0,5.0,14.0,5.0
212198,12.0,14.0,15.0,8.0,14.0
212190,15.0,7.0,14.0,7.0,15.0
211300,9.0,8.0,8.0,15.0,11.0
211117,7.0,6.0,9.0,11.0,8.0
209499,13.0,12.0,6.0,8.0,8.0
207865,6.0,6.0,12.0,10.0,13.0
207566,6.0,6.0,5.0,14.0,14.0
205498,14.0,7.0,13.0,14.0,8.0
204970,8.0,11.0,14.0,10.0,9.0
204963,13.0,13.0,15.0,9.0,15.0
202556,8.0,14.0,6.0,12.0,10.0
200104,11.0,13.0,13.0,6.0,10.0
199482,86.0,80.0,75.0,81.0,88.0
198176,8.0,10.0,7.0,14.0,13.0
198009,81.0,85.0,71.0,79.0,90.0
193082,5.0,5.0,13.0,6.0,9.0
192629,12.0,16.0,9.0,12.0,13.0
192563,84.0,82.0,75.0,85.0,82.0
191202,7.0,15.0,12.0,14.0,9.0
190941,85.0,79.0,68.0,82.0,88.0
190584,15.0,7.0,11.0,14.0,12.0
188377,12.0,6.0,16.0,15.0,8.0
186942,11.0,14.0,5.0,5.0,13.0
185020,8.0,5.0,14.0,11.0,11.0
183898,10.0,7.0,11.0,12.0,11.0
181783,10.0,8.0,5.0,8.0,15.0
180403,14.0,12.0,13.0,7.0,13.0
178750,85.0,83.0,77.0,82.0,84.0
178562,13.0,8.0,7.0,7.0,10.0
177413,5.0,7.0,7.0,10.0,7.0
177388,11.0,15.0,9.0,14.0,12.0
176769,12.0,11.0,7.0,8.0,5.0
172879,6.0,8.0,5.0,12.0,5.0
167628,82.0,84.0,77.0,85.0,82.0
167397,10.0,13.0,6.0,9.0,5.0
163587,82.0,77.0,82.0,80.0,88.0
157481,8.0,6.0,5.0,9.0,8.0
143076,8.0,11.0,12.0,9.0,6.0
137186,4.0,2.0,4.0,2.0,4.0
20775,12.0,14.0,10.0,5.0,15.0
9014,10.0,8.0,11.0,5.0,15.0
231443,6.0,6.0,14.0,10.0,13.0
230666,13.0,8.0,6.0,6.0,15.0
230481,12.0,12.0,13.0,15.0,13.0
230375,16.0,15.0,13.0,15.0,10.0
230294,8.0,11.0,20.0,19.0,20.0
225850,7.0,8.0,14.0,15.0,9.0
220971,7.0,14.0,15.0,14.0,9.0
219683,7.0,10.0,14.0,9.0,14.0
213565,11.0,15.0,13.0,7.0,14.0
213345,5.0,3.0,5.0,3.0,5.0
213331,11.0,8.0,7.0,9.0,14.0
212523,13.0,11.0,13.0,12.0,10.0
212188,9.0,9.0,8.0,15.0,9.0
210008,9.0,12.0,9.0,7.0,15.0
209658,13.0,8.0,15.0,11.0,9.0
208808,10.0,13.0,6.0,7.0,13.0
208670,11.0,7.0,11.0,8.0,14.0
208618,9.0,16.0,9.0,9.0,7.0
208418,9.0,11.0,9.0,10.0,10.0
208093,15.0,12.0,7.0,12.0,10.0
207863,9.0,11.0,14.0,9.0,7.0
207410,9.0,5.0,6.0,7.0,7.0
206585,84.0,80.0,76.0,80.0,84.0
206545,9.0,14.0,12.0,7.0,8.0
206113,14.0,10.0,10.0,9.0,7.0
204935,83.0,78.0,88.0,81.0,86.0
204639,14.0,13.0,14.0,13.0,12.0
203574,7.0,15.0,11.0,10.0,8.0
202651,15.0,15.0,9.0,8.0,9.0
202166,11.0,13.0,5.0,13.0,8.0
201995,12.0,10.0,9.0,5.0,7.0
200949,9.0,10.0,14.0,7.0,14.0
200888,9.0,7.0,13.0,14.0,15.0
200724,12.0,7.0,10.0,15.0,7.0
200316,83.0,80.0,83.0,82.0,86.0
199914,13.0,13.0,5.0,5.0,8.0
199845,11.0,9.0,9.0,13.0,11.0
199564,14.0,16.0,11.0,15.0,10.0
198329,7.0,13.0,10.0,11.0,5.0
197965,15.0,14.0,9.0,9.0,15.0
195365,13.0,11.0,7.0,6.0,16.0
194404,85.0,79.0,79.0,78.0,82.0
193698,82.0,82.0,70.0,82.0,85.0
193474,8.0,6.0,8.0,12.0,13.0
192883,5.0,11.0,14.0,5.0,7.0
192638,9.0,7.0,13.0,9.0,12.0
192593,82.0,80.0,79.0,82.0,84.0
190547,10.0,14.0,5.0,8.0,10.0
189712,7.0,12.0,11.0,6.0,7.0
189068,6.0,12.0,15.0,11.0,8.0
188152,12.0,10.0,15.0,12.0,12.0
186627,2.0,2.0,2.0,4.0,2.0
185221,10.0,6.0,11.0,12.0,13.0
184942,16.0,11.0,13.0,9.0,8.0
179944,11.0,12.0,10.0,7.0,14.0
179783,83.0,81.0,52.0,82.0,87.0
178088,9.0,10.0,14.0,5.0,8.0
178086,81.0,84.0,78.0,84.0,83.0
178005,85.0,81.0,80.0,79.0,82.0
177683,78.0,84.0,80.0,80.0,85.0
177610,5.0,12.0,9.0,11.0,8.0
177457,12.0,6.0,7.0,12.0,7.0
176266,10.0,8.0,8.0,5.0,6.0
163705,86.0,81.0,70.0,79.0,84.0
162895,6.0,10.0,8.0,15.0,15.0
162240,16.0,14.0,11.0,16.0,14.0
156616,15.0,6.0,9.0,7.0,10.0
104389,79.0,82.0,76.0,86.0,84.0
53302,10.0,7.0,13.0,10.0,9.0
24630,80.0,83.0,82.0,82.0,82.0
236583,85.0,78.0,68.0,78.0,85.0
235243,12.0,11.0,11.0,12.0,10.0
231866,10.0,10.0,7.0,14.0,8.0
230658,6.0,13.0,13.0,11.0,12.0
230621,88.0,78.0,72.0,78.0,88.0
230258,15.0,14.0,14.0,10.0,9.0
230225,18.0,12.0,14.0,11.0,18.0
230168,79.0,84.0,77.0,83.0,78.0
227055,12.0,9.0,7.0,6.0,9.0
224411,9.0,12.0,11.0,9.0,9.0
223959,5.0,5.0,13.0,7.0,9.0
222737,8.0,14.0,15.0,7.0,9.0
221087,81.0,82.0,79.0,83.0,81.0
220814,10.0,7.0,8.0,14.0,10.0
220440,10.0,10.0,9.0,12.0,7.0
216354,8.0,14.0,14.0,7.0,15.0
216267,11.0,8.0,10.0,7.0,14.0
216194,6.0,14.0,14.0,6.0,11.0
212404,14.0,15.0,10.0,13.0,12.0
212194,11.0,16.0,11.0,8.0,9.0
211320,5.0,10.0,5.0,5.0,5.0
210617,13.0,16.0,15.0,8.0,14.0
210514,6.0,9.0,15.0,14.0,14.0
210413,9.0,14.0,12.0,8.0,9.0
209989,11.0,13.0,9.0,9.0,7.0
209297,7.0,16.0,15.0,11.0,15.0
208830,15.0,14.0,7.0,15.0,11.0
208596,13.0,7.0,12.0,14.0,7.0
208448,13.0,7.0,9.0,15.0,11.0
207494,14.0,10.0,8.0,13.0,9.0
207471,14.0,15.0,13.0,9.0,7.0
205678,8.0,14.0,14.0,12.0,16.0
205452,14.0,15.0,10.0,12.0,8.0
203551,9.0,8.0,10.0,11.0,10.0
203263,14.0,16.0,9.0,14.0,9.0
202371,8.0,13.0,15.0,6.0,9.0
201956,14.0,7.0,10.0,13.0,16.0
201455,15.0,10.0,10.0,8.0,10.0
201400,11.0,6.0,15.0,13.0,7.0
201305,15.0,6.0,15.0,15.0,7.0
201153,4.0,5.0,4.0,4.0,5.0
199987,80.0,83.0,75.0,81.0,80.0
199451,6.0,13.0,9.0,7.0,7.0
198951,6.0,13.0,6.0,14.0,6.0
198950,16.0,7.0,15.0,6.0,14.0
198717,15.0,10.0,15.0,11.0,10.0
198706,6.0,8.0,6.0,12.0,11.0
198164,16.0,16.0,9.0,14.0,9.0
198141,10.0,15.0,13.0,12.0,8.0
197655,16.0,13.0,15.0,16.0,13.0
195093,15.0,14.0,16.0,15.0,8.0
193525,12.0,13.0,14.0,13.0,12.0
193469,12.0,8.0,6.0,6.0,14.0
193283,8.0,12.0,11.0,14.0,15.0
192984,83.0,77.0,77.0,81.0,83.0
192318,14.0,7.0,12.0,6.0,10.0
192227,11.0,9.0,15.0,10.0,6.0
191180,14.0,9.0,6.0,10.0,12.0
189505,5.0,11.0,12.0,15.0,9.0
189125,10.0,14.0,7.0,15.0,14.0
189117,86.0,78.0,73.0,77.0,86.0
188803,7.0,7.0,11.0,15.0,13.0
187936,7.0,16.0,16.0,16.0,13.0
187754,6.0,13.0,13.0,8.0,9.0
186561,6.0,11.0,5.0,10.0,8.0
186345,11.0,14.0,8.0,11.0,10.0
185103,16.0,15.0,8.0,16.0,6.0
184484,13.0,8.0,10.0,15.0,12.0
184431,6.0,3.0,6.0,3.0,3.0
184200,14.0,15.0,10.0,10.0,15.0
184144,8.0,11.0,9.0,7.0,5.0
183711,7.0,13.0,7.0,9.0,13.0
183574,12.0,7.0,5.0,13.0,9.0
183498,13.0,9.0,6.0,7.0,9.0
183376,14.0,12.0,13.0,11.0,14.0
183280,5.0,3.0,5.0,5.0,3.0
181786,15.0,9.0,12.0,14.0,6.0
181291,16.0,6.0,14.0,12.0,6.0
179847,8.0,9.0,12.0,11.0,14.0
178509,12.0,15.0,11.0,6.0,5.0
173521,8.0,16.0,7.0,14.0,16.0
171897,7.0,10.0,10.0,11.0,10.0
170481,14.0,6.0,13.0,13.0,14.0
168530,7.0,16.0,11.0,16.0,7.0
168435,84.0,76.0,76.0,83.0,81.0
168354,83.0,84.0,76.0,81.0,83.0
165229,13.0,11.0,9.0,11.0,7.0
163489,82.0,83.0,72.0,82.0,83.0
158963,14.0,12.0,7.0,12.0,7.0
146530,5.0,11.0,9.0,6.0,7.0
113422,8.0,9.0,9.0,11.0,9.0
106231,14.0,10.0,9.0,15.0,9.0
48940,78.0,82.0,70.0,83.0,79.0
5479,87.0,74.0,58.0,82.0,84.0
231677,11.0,6.0,15.0,7.0,14.0
230271,9.0,7.0,8.0,14.0,10.0
229906,12.0,13.0,6.0,15.0,14.0
229237,10.0,9.0,13.0,6.0,9.0
228702,7.0,13.0,10.0,10.0,9.0
227928,16.0,12.0,10.0,14.0,12.0
226456,9.0,11.0,12.0,7.0,15.0
226271,16.0,11.0,7.0,13.0,13.0
225508,14.0,14.0,10.0,9.0,8.0
222509,12.0,15.0,16.0,7.0,13.0
221992,11.0,10.0,14.0,14.0,10.0
216475,14.0,13.0,13.0,16.0,8.0
216451,14.0,13.0,9.0,10.0,12.0
216409,11.0,12.0,6.0,8.0,11.0
216352,8.0,8.0,15.0,11.0,8.0
216201,14.0,15.0,14.0,10.0,13.0
214997,13.0,10.0,9.0,8.0,16.0
213661,10.0,12.0,8.0,6.0,8.0
212814,6.0,15.0,8.0,8.0,8.0
212151,81.0,77.0,75.0,78.0,86.0
210864,12.0,6.0,14.0,9.0,11.0
210406,12.0,9.0,12.0,11.0,6.0
210243,16.0,12.0,15.0,11.0,11.0
210035,7.0,13.0,10.0,7.0,13.0
209889,12.0,6.0,8.0,11.0,8.0
208135,15.0,12.0,12.0,15.0,14.0
207877,12.0,14.0,14.0,12.0,8.0
207664,12.0,12.0,8.0,5.0,8.0
206467,11.0,15.0,16.0,12.0,15.0
205923,11.0,7.0,6.0,7.0,14.0
205362,11.0,16.0,11.0,15.0,13.0
205175,9.0,16.0,16.0,15.0,6.0
204923,11.0,13.0,14.0,15.0,13.0
204884,7.0,7.0,9.0,15.0,9.0
204024,8.0,13.0,9.0,6.0,8.0
203890,15.0,11.0,10.0,10.0,12.0
203486,6.0,9.0,7.0,7.0,8.0
202857,10.0,12.0,7.0,11.0,10.0
202685,7.0,13.0,9.0,7.0,9.0
201454,12.0,7.0,8.0,8.0,13.0
200726,81.0,76.0,79.0,81.0,82.0
200647,13.0,13.0,8.0,12.0,6.0
200610,8.0,7.0,9.0,7.0,12.0
200454,12.0,14.0,14.0,8.0,5.0
199715,11.0,16.0,8.0,14.0,16.0
199503,7.0,8.0,11.0,7.0,13.0
199434,11.0,11.0,14.0,9.0,16.0
199042,15.0,7.0,12.0,8.0,13.0
196889,12.0,10.0,7.0,15.0,9.0
195086,14.0,14.0,13.0,10.0,7.0
193532,14.0,7.0,9.0,6.0,6.0
193348,13.0,12.0,12.0,11.0,11.0
193165,11.0,6.0,10.0,14.0,9.0
193105,83.0,78.0,70.0,77.0,84.0
192641,6.0,13.0,8.0,7.0,14.0
191740,9.0,12.0,15.0,9.0,8.0
190972,9.0,11.0,9.0,5.0,14.0
190813,5.0,3.0,5.0,5.0,3.0
189881,10.0,15.0,16.0,15.0,15.0
189362,6.0,10.0,7.0,11.0,12.0
189358,11.0,9.0,8.0,9.0,13.0
188988,14.0,9.0,6.0,7.0,15.0
187491,16.0,9.0,16.0,15.0,10.0
187072,7.0,10.0,13.0,11.0,12.0
185239,11.0,8.0,11.0,12.0,15.0
183900,5.0,8.0,14.0,6.0,8.0
182494,81.0,75.0,75.0,81.0,83.0
179784,14.0,6.0,9.0,10.0,7.0
179645,6.0,10.0,13.0,10.0,15.0
177458,13.0,7.0,8.0,14.0,15.0
177326,14.0,12.0,8.0,6.0,8.0
175379,11.0,12.0,10.0,15.0,16.0
173909,6.0,11.0,15.0,16.0,6.0
173771,14.0,11.0,14.0,6.0,12.0
173221,10.0,4.0,14.0,4.0,14.0
172522,11.0,9.0,10.0,13.0,13.0
170368,10.0,15.0,11.0,8.0,13.0
169595,10.0,11.0,8.0,13.0,13.0
169416,8.0,14.0,8.0,13.0,10.0
169195,6.0,11.0,16.0,15.0,8.0
167905,16.0,11.0,10.0,7.0,7.0
164835,79.0,83.0,70.0,80.0,84.0
162347,13.0,15.0,15.0,13.0,13.0
161956,5.0,4.0,10.0,8.0,7.0
159261,6.0,7.0,5.0,4.0,4.0
159145,14.0,11.0,9.0,9.0,13.0
157960,14.0,14.0,9.0,16.0,8.0
156519,6.0,10.0,15.0,7.0,16.0
144622,12.0,10.0,5.0,13.0,14.0
139068,5.0,10.0,13.0,6.0,6.0
138412,1.0,1.0,1.0,1.0,1.0
112316,13.0,14.0,10.0,9.0,5.0
45186,9.0,14.0,6.0,10.0,11.0
239207,7.0,8.0,13.0,12.0,6.0
235790,6.0,8.0,11.0,10.0,12.0
235569,8.0,10.0,13.0,8.0,7.0
234906,14.0,6.0,11.0,7.0,10.0
234153,6.0,14.0,7.0,13.0,11.0
234035,11.0,12.0,10.0,5.0,14.0
230977,6.0,9.0,13.0,13.0,12.0
230347,16.0,15.0,15.0,7.0,7.0
230234,9.0,9.0,14.0,15.0,8.0
230142,10.0,6.0,10.0,13.0,11.0
228229,9.0,13.0,15.0,9.0,15.0
227536,14.0,7.0,13.0,11.0,11.0
226851,9.0,7.0,15.0,7.0,15.0
226790,13.0,14.0,7.0,7.0,13.0
226753,83.0,79.0,85.0,75.0,80.0
226226,10.0,7.0,10.0,15.0,14.0
224334,8.0,14.0,13.0,13.0,14.0
224293,16.0,12.0,10.0,8.0,10.0
221639,12.0,14.0,6.0,8.0,15.0
221540,10.0,9.0,7.0,13.0,12.0
220477,14.0,9.0,6.0,9.0,5.0
219985,4.0,4.0,4.0,4.0,4.0
219809,11.0,15.0,11.0,14.0,10.0
218339,14.0,7.0,9.0,12.0,11.0
216547,9.0,11.0,11.0,12.0,8.0
215785,12.0,8.0,13.0,8.0,15.0
215316,83.0,76.0,74.0,77.0,83.0
214584,79.0,74.0,69.0,79.0,84.0
212692,11.0,10.0,12.0,12.0,11.0
212623,9.0,8.0,14.0,8.0,15.0
211748,14.0,15.0,11.0,14.0,14.0
211688,13.0,10.0,9.0,12.0,9.0
211575,12.0,9.0,6.0,14.0,8.0
211256,13.0,9.0,10.0,15.0,16.0
210896,6.0,16.0,16.0,9.0,9.0
209960,79.0,77.0,68.0,81.0,81.0
208333,14.0,8.0,8.0,13.0,11.0
208128,9.0,14.0,11.0,6.0,10.0
207862,12.0,10.0,6.0,8.0,10.0
207599,16.0,7.0,8.0,14.0,11.0
207439,9.0,14.0,6.0,9.0,10.0
206413,15.0,13.0,9.0,14.0,9.0
205988,10.0,12.0,13.0,7.0,7.0
205705,13.0,14.0,12.0,10.0,8.0
205693,6.0,7.0,14.0,7.0,6.0
205525,6.0,11.0,13.0,10.0,12.0
205114,11.0,12.0,11.0,15.0,8.0
205070,14.0,10.0,15.0,15.0,13.0
204529,9.0,10.0,16.0,7.0,15.0
204399,13.0,12.0,13.0,8.0,16.0
204120,82.0,72.0,74.0,81.0,85.0
203841,79.0,80.0,74.0,80.0,80.0
203747,8.0,14.0,14.0,13.0,12.0
203605,10.0,11.0,14.0,13.0,7.0
203042,82.0,77.0,71.0,80.0,84.0
202849,16.0,11.0,11.0,15.0,10.0
202695,14.0,8.0,12.0,9.0,7.0
202477,12.0,16.0,14.0,11.0,11.0
202335,11.0,14.0,6.0,13.0,9.0
201377,14.0,13.0,8.0,11.0,14.0
201144,8.0,9.0,14.0,15.0,6.0
201119,8.0,8.0,14.0,11.0,10.0
200536,13.0,9.0,15.0,7.0,14.0
200458,6.0,12.0,9.0,6.0,13.0
200318,9.0,11.0,8.0,9.0,11.0
200315,15.0,12.0,9.0,7.0,13.0
199206,16.0,13.0,10.0,9.0,8.0
199110,8.0,10.0,10.0,14.0,6.0
199069,8.0,10.0,9.0,7.0,8.0
198784,16.0,9.0,6.0,9.0,9.0
197853,7.0,10.0,15.0,16.0,9.0
197061,11.0,15.0,10.0,7.0,10.0
195861,12.0,16.0,7.0,12.0,6.0
194879,8.0,8.0,8.0,14.0,6.0
194794,9.0,5.0,6.0,5.0,14.0
194229,14.0,9.0,7.0,9.0,15.0
194022,14.0,6.0,7.0,12.0,8.0
193886,12.0,11.0,10.0,14.0,6.0
193352,14.0,13.0,14.0,14.0,11.0
193061,4.0,5.0,3.0,4.0,8.0
192789,9.0,12.0,8.0,9.0,15.0
191687,15.0,11.0,14.0,10.0,6.0
190815,12.0,9.0,10.0,14.0,10.0
190778,79.0,77.0,77.0,79.0,83.0
190544,6.0,14.0,7.0,6.0,12.0
190286,15.0,12.0,16.0,13.0,12.0
190264,15.0,5.0,14.0,13.0,7.0
189805,16.0,10.0,8.0,8.0,11.0
189690,82.0,81.0,79.0,77.0,82.0
189575,10.0,5.0,5.0,13.0,12.0
189354,12.0,7.0,8.0,6.0,10.0
189251,13.0,8.0,13.0,12.0,10.0
188943,79.0,74.0,77.0,82.0,83.0
188942,6.0,14.0,10.0,13.0,16.0
188829,6.0,7.0,6.0,15.0,7.0
188388,10.0,12.0,16.0,10.0,14.0
188005,9.0,13.0,15.0,8.0,10.0
186569,79.0,72.0,69.0,80.0,86.0
186547,5.0,11.0,12.0,6.0,12.0
186537,16.0,14.0,9.0,16.0,8.0
185122,81.0,80.0,76.0,76.0,81.0
184120,13.0,10.0,9.0,11.0,8.0
183427,10.0,9.0,14.0,11.0,6.0
180819,6.0,15.0,14.0,8.0,11.0
180334,16.0,15.0,10.0,7.0,14.0
180216,5.0,15.0,10.0,13.0,7.0
180175,16.0,7.0,13.0,15.0,8.0
178424,10.0,7.0,10.0,9.0,14.0
177604,7.0,5.0,9.0,3.0,5.0
177600,16.0,10.0,14.0,6.0,13.0
176915,9.0,13.0,6.0,16.0,9.0
176600,6.0,10.0,8.0,8.0,6.0
176376,14.0,13.0,7.0,7.0,15.0
176104,3.0,5.0,5.0,5.0,3.0
173373,78.0,76.0,81.0,77.0,82.0
173208,13.0,10.0,16.0,9.0,9.0
172114,15.0,15.0,8.0,10.0,12.0
171833,7.0,15.0,9.0,5.0,13.0
171579,14.0,16.0,14.0,16.0,15.0
170815,7.0,6.0,14.0,16.0,10.0
166706,15.0,5.0,7.0,6.0,11.0
165109,9.0,12.0,12.0,6.0,13.0
164468,5.0,12.0,9.0,5.0,12.0
163711,9.0,5.0,12.0,10.0,15.0
159147,6.0,7.0,12.0,11.0,14.0
158625,14.0,8.0,10.0,6.0,13.0
156713,7.0,9.0,12.0,10.0,15.0
153244,10.0,15.0,14.0,11.0,11.0
150418,8.0,8.0,9.0,7.0,14.0
148119,77.0,72.0,78.0,82.0,84.0
147782,13.0,7.0,15.0,13.0,12.0
146760,11.0,14.0,10.0,15.0,7.0
146748,75.0,81.0,74.0,81.0,76.0
146562,6.0,9.0,5.0,7.0,15.0
146536,10.0,10.0,15.0,7.0,13.0
142754,6.0,10.0,8.0,5.0,5.0
140293,82.0,80.0,64.0,78.0,82.0
139997,10.0,10.0,6.0,6.0,12.0
121944,14.0,14.0,13.0,13.0,11.0
110677,84.0,77.0,81.0,80.0,79.0
54050,10.0,11.0,13.0,8.0,7.0
49369,14.0,13.0,8.0,9.0,10.0
49031,81.0,82.0,66.0,82.0,79.0
244369,9.0,7.0,15.0,6.0,12.0
239818,7.0,8.0,13.0,7.0,12.0
236632,14.0,10.0,5.0,13.0,6.0
233419,8.0,7.0,13.0,8.0,14.0
232097,15.0,13.0,10.0,13.0,6.0
231943,12.0,7.0,8.0,11.0,13.0
231478,11.0,8.0,8.0,8.0,13.0
230938,9.0,11.0,12.0,12.0,10.0
230498,9.0,12.0,8.0,10.0,9.0
230312,81.0,75.0,71.0,77.0,82.0
230251,15.0,7.0,16.0,9.0,8.0
230212,9.0,14.0,13.0,8.0,10.0
230201,15.0,13.0,12.0,10.0,15.0
229909,80.0,73.0,65.0,77.0,85.0
228941,14.0,13.0,7.0,11.0,8.0
227796,8.0,12.0,13.0,16.0,14.0
227290,74.0,79.0,78.0,81.0,79.0
227234,11.0,15.0,16.0,10.0,15.0
226161,13.0,6.0,6.0,11.0,15.0
225997,15.0,11.0,13.0,6.0,12.0
225953,11.0,14.0,12.0,14.0,13.0
225711,12.0,7.0,7.0,7.0,8.0
225663,12.0,14.0,14.0,10.0,16.0
225647,81.0,75.0,74.0,80.0,82.0
224254,11.0,10.0,9.0,13.0,7.0
224069,10.0,12.0,12.0,8.0,14.0
223682,6.0,13.0,13.0,14.0,14.0
223061,12.0,8.0,9.0,11.0,10.0
222028,6.0,14.0,16.0,11.0,7.0
221660,12.0,16.0,8.0,7.0,9.0
220018,13.0,15.0,12.0,13.0,14.0
219932,8.0,14.0,9.0,14.0,13.0
219576,7.0,7.0,7.0,9.0,9.0
216497,8.0,12.0,10.0,10.0,9.0
216388,10.0,9.0,12.0,7.0,7.0
216150,11.0,9.0,8.0,6.0,11.0
215353,8.0,15.0,7.0,15.0,15.0
215061,10.0,14.0,12.0,8.0,11.0
215057,16.0,11.0,12.0,16.0,10.0
214947,11.0,13.0,8.0,14.0,10.0
213991,16.0,14.0,11.0,7.0,9.0
213516,7.0,9.0,10.0,8.0,13.0
213160,10.0,8.0,13.0,15.0,9.0
212150,8.0,12.0,13.0,11.0,14.0
211368,11.0,13.0,8.0,12.0,8.0
211267,7.0,6.0,7.0,11.0,8.0
210455,7.0,10.0,12.0,10.0,6.0
210411,11.0,12.0,9.0,10.0,15.0
210324,6.0,6.0,10.0,10.0,10.0
208920,10.0,7.0,7.0,16.0,10.0
