id,name,original_name,overview,first_air_date,origin_country,original_language,vote_average,vote_count,popularity,genre_ids
498,Late Show with David Letterman,Late Show with David Letterman,"Late Show with David Letterman is an American late-night talk show hosted by David Letterman on CBS. The show debuted on August 30, 1993, and is produced by Letterman's production company, Worldwide Pants Incorporated and CBS Television Studios. The show's music director and band-leader of the house band, the CBS Orchestra, is Paul Shaffer. The head writer is Matt Roberts and the announcer is Alan Kalter. Of the major U.S. late-night programs, Late Show ranks second in cumulative average viewers over time and third in number of episodes over time. The show leads other late night shows in ad revenue with $271 million in 2009.

In most U.S. markets the show airs at 11:35 p.m. Eastern/Pacific time, but is recorded Monday through Wednesday at 4:30 p.m., and Thursdays at 3:30 p.m and 6:00 p.m. The second Thursday episode usually airs on Friday of that week.

In 2002, Late Show with David Letterman was ranked No. 7 on TV Guide's 50 Greatest TV Shows of All Time. CBS has a contract with Worldwide Pants to continue the show through 2014; by then, Letterman will surpass Johnny Carson as the longest tenured late-night talk show host.",1993-08-30,['US'],en,6.6,79,34.193,"[35, 10767]"
1434,Family Guy,Family Guy,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",1999-01-31,['US'],en,6.5,1805,90.062,"[16, 35]"
60735,The Flash,The Flash,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",2014-10-07,['US'],en,6.8,3172,136.056,"[18, 10765]"
1416,Grey's Anatomy,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,2005-03-27,['US'],en,6.5,1199,99.398,[18]
1402,The Walking Dead,The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,2010-10-31,['US'],en,7.3,4491,93.181,"[18, 10759, 10765]"
81356,Sex Education,Sex Education,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,2019-01-11,['GB'],en,8.1,338,95.102,"[35, 18]"
46952,The Blacklist,The Blacklist,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",2013-09-23,['US'],en,7.0,1169,114.09,"[80, 18, 9648]"
82856,The Mandalorian,The Mandalorian,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",2019-11-12,['US'],en,8.1,583,96.115,"[10759, 10765]"
25917,Final Approach,φなる・あぷろーち,"Ryou Mizuhara is a normal high school student, living alone with his younger sister Akane. They were very happy together, at least until a mysterious girl crashes into their lives who introduces herself as Ryou's new fiancée.",2004-10-03,['JP'],ja,6.3,3,104.778,"[16, 35]"
96608,The Stranger,The Stranger,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,2020-01-30,[],en,8.1,8,86.707,"[18, 9648]"
69050,Riverdale,Riverdale,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.",2017-01-26,['US'],en,7.4,821,86.351,"[18, 9648]"
79242,Chilling Adventures of Sabrina,Chilling Adventures of Sabrina,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.",2018-10-26,['US'],en,7.8,284,68.686,"[18, 9648, 10765]"
2691,Two and a Half Men,Two and a Half Men,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,2003-09-21,['US'],en,6.4,818,63.861,[35]
48866,The 100,The 100,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",2014-03-19,['US'],en,6.7,1802,83.945,"[18, 10759, 10765]"
4057,Criminal Minds,Criminal Minds,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",2005-09-22,['US'],en,7.4,727,70.506,"[80, 18, 9648]"
1668,Friends,Friends,"The misadventures of a group of friends as they navigate the pitfalls of work, life and love in Manhattan.",1994-09-22,['US'],en,8.0,1978,80.938,"[35, 18]"
12609,Dragon Ball,ドラゴンボール,"Long ago in the mountains, a fighting master known as Gohan discovered a strange boy whom he named Goku. Gohan raised him and trained Goku in martial arts until he died. The young and very strong boy was on his own, but easily managed. Then one day, Goku met a teenage girl named Bulma, whose search for the mystical Dragon Balls brought her to Goku's home. Together, they set off to find all seven and to grant her wish.",1986-02-26,['JP'],ja,7.1,381,85.816,"[35, 10765, 16, 10759]"
31910,Naruto Shippūden,ナルト 疾風伝,"Naruto Shippuuden is the continuation of the original animated TV series Naruto.The story revolves around an older and slightly more matured Uzumaki Naruto and his quest to save his friend Uchiha Sasuke from the grips of the snake-like Shinobi, Orochimaru. After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work, though it will not be easy, as He has amassed a few (more dangerous) enemies, in the likes of the shinobi organization; Akatsuki.",2007-02-15,['JP'],ja,7.6,290,68.378,"[16, 35, 18]"
2190,South Park,South Park,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",1997-08-13,['US'],en,7.8,1250,79.976,"[16, 35]"
79460,Legacies,Legacies,"In a place where young witches, vampires, and werewolves are nurtured to be their best selves in spite of their worst impulses, Klaus Mikaelson’s daughter, 17-year-old Hope Mikaelson, Alaric Saltzman’s twins, Lizzie and Josie Saltzman, among others, come of age into heroes and villains at The Salvatore School for the Young and Gifted.",2018-10-25,['US'],en,8.0,337,75.284,"[18, 10765]"
1399,Game of Thrones,Game of Thrones,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",2011-04-17,['US'],en,8.2,6716,77.521,"[18, 10765]"
4614,NCIS,NCIS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",2003-09-23,['US'],en,6.9,924,74.291,"[80, 18, 10759]"
63174,Lucifer,Lucifer,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",2016-01-25,['US'],en,7.6,1226,72.672,"[80, 10765]"
57911,Doraemon,ドラえもん,Doraemon is an anime TV series created by Fujiko F. Fujio and based on the manga series of the same name. This anime is the much more successful successor of the 1973 anime.,1979-04-02,['JP'],ja,6.8,17,25.84,"[10759, 16, 35, 10765]"
1408,House,House,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",2004-11-16,['US'],en,8.2,1260,53.625,"[35, 18, 9648]"
32798,Hawaii Five-0,Hawaii Five-0,"Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.",2010-09-20,['US'],en,6.8,459,70.472,"[28, 80, 18]"
48891,Brooklyn Nine-Nine,Brooklyn Nine-Nine,"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.",2013-09-17,['US'],en,7.8,828,68.722,"[35, 80]"
1403,Marvel's Agents of S.H.I.E.L.D.,Marvel's Agents of S.H.I.E.L.D.,"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.",2013-09-24,['US'],en,6.9,1448,68.592,"[18, 10759, 10765]"
68507,His Dark Materials,His Dark Materials,"Lyra is an orphan who lives in a parallel universe in which science, theology and magic are entwined. Lyra's search for a kidnapped friend uncovers a sinister plot involving stolen children, and turns into a quest to understand a mysterious phenomenon called Dust. She is later joined on her journey by Will, a boy who possesses a knife that can cut windows between worlds. As Lyra learns the truth about her parents and her prophesied destiny, the two young people are caught up in a war against celestial powers that ranges across many worlds.",2019-11-03,['GB'],en,7.5,186,68.286,"[18, 10765]"
549,Law & Order,Law & Order,"Law & Order is an American police procedural and legal drama television series, created by Dick Wolf and part of the Law & Order franchise. It originally aired on NBC and, in syndication, on various cable networks. Law & Order premiered on September 13, 1990, and completed its 20th and final season on May 24, 2010. At the time of its cancellation, Law & Order was the longest-running crime drama on American primetime television. After The Simpsons, both Law & Order and Gunsmoke tied for the second longest-running scripted American primetime series with ongoing characters.",1990-09-13,['US'],en,7.6,217,60.544,[18]
4194,Star Wars: The Clone Wars,Star Wars: The Clone Wars,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",2008-10-03,"['SG', 'US']",en,7.7,246,73.307,"[16, 10759, 10765]"
40879,Dahoam is Dahoam,Dahoam is Dahoam,The lives of the residents of the fictitious village of Lansing in Upper Bavaria.,2007-10-08,['DE'],de,0.0,0,5.601,[10751]
17610,NCIS: Los Angeles,NCIS: Los Angeles,"The exploits of the Los Angeles–based Office of Special Projects (OSP), an elite division of the Naval Criminal Investigative Service that specializes in undercover assignments.",2009-09-22,['US'],en,7.0,448,70.622,"[80, 18, 9648, 10759]"
46298,Hunter x Hunter,ハンターｘハンター,"Twelve-year-old Gon Freecss one day discovers that the father he had always been told was dead was alive and well. His Father, Ging, is a Hunter—a member of society's elite with a license to go anywhere or do almost anything. Gon, determined to follow in his father's footsteps, decides to take the Hunter Examination and eventually find his father to prove himself as a Hunter in his own right. But on the way, he learns that there is more to becoming a Hunter than previously thought, and the challenges that he must face are considered the toughest in the world.",2011-10-02,['JP'],ja,8.3,185,62.598,"[16, 35, 18, 10759]"
44006,Chicago Fire,Chicago Fire,"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.",2012-10-10,['US'],en,7.7,342,70.868,[18]
3034,Scene of the Crime,Tatort,"Tatort is a long-running German/Austrian/Swiss, crime television series set in various parts of these countries. The show is broadcast on the channels of ARD in Germany, ORF 2 in Austria and SF1 in Switzerland. The first episode was broadcast on November 29, 1970. The opening sequence for the series has remained the same throughout the decades, which remains highly unusual for any such long-running TV series up to date.

Each of the regional TV channels which together form ARD, plus ORF and SF, produces its own episodes, starring its own police inspector, some of which, like the discontinued Schimanski, have become cultural icons.

The show appears on DasErste and ORF 2 on Sundays at 8:15 p.m. and currently about 30 episodes are made per year. As of March 2013, 865 episodes in total have been produced.

Tatort is currently being broadcast in the United States on the MHz Worldview channel under the name Scene of the Crime.",1970-11-29,"['AT', 'DE', 'CH']",de,5.5,55,35.99,"[80, 18]"
1396,Breaking Bad,Breaking Bad,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",2008-01-20,['US'],en,8.5,3812,78.691,[18]
1911,Bones,Bones,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.",2005-09-13,['US'],en,7.2,587,62.318,"[80, 18]"
84661,The Outsider,The Outsider,"When an insidious supernatural force edges its way into a seemingly straightforward investigation into the gruesome murder of a young boy, it leads a seasoned cop and an unorthodox investigator to question everything they believe in.",2020-01-12,['US'],en,8.4,26,61.296,"[80, 18, 9648]"
1433,American Dad!,American Dad!,"The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics.""",2005-02-06,['US'],en,6.2,787,63.785,"[16, 35]"
12971,Dragon Ball Z,ドラゴンボールゼット,"Five years have passed since the fight with Piccolo Jr., and Goku now has a son, Gohan. The peace is interrupted when an alien named Raditz arrives on Earth in a spacecraft and tracks down Goku, revealing to him that that they are members of a near-extinct warrior race called the Saiyans.",1989-04-26,['JP'],ja,8.0,361,68.287,"[16, 35, 10759, 10765]"
2288,Prison Break,Prison Break,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside out.",2005-08-29,['US'],en,7.6,1305,60.537,"[80, 18, 10759]"
71712,The Good Doctor,The Good Doctor,A young surgeon with Savant syndrome is recruited into the surgical unit of a prestigious hospital. The question will arise: can a person who doesn't have the ability to relate to people actually save their lives?,2017-09-25,['US'],en,7.8,508,59.837,[18]
62688,Supergirl,Supergirl,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.",2015-10-26,['US'],en,6.1,1191,63.946,"[28, 12, 18, 878]"
4177,Perry Mason,Perry Mason,The cases of master criminal defense attorney Perry Mason and his staff who handled the most difficult of cases in the aid of the innocent.,1957-09-21,['US'],en,8.2,53,25.522,"[80, 18, 9648]"
121,Doctor Who,Doctor Who,"The adventures of a Time Lord—a time-travelling humanoid alien known as the Doctor—who explores the universe in his TARDIS, a sentient time-travelling space ship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Along with a succession of companions, the Doctor faces a variety of foes while working to save civilisations, help ordinary people, and right wrongs.",1963-11-23,['GB'],en,7.9,228,45.423,"[18, 10759, 10765]"
1431,CSI: Crime Scene Investigation,CSI: Crime Scene Investigation,"A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.",2000-10-06,['US'],en,7.0,370,58.671,"[80, 18, 9648]"
1419,Castle,Castle,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",2009-03-08,['US'],en,7.6,562,48.361,"[80, 18]"
1407,Homeland,Homeland,"CIA officer Carrie Mathison is tops in her field despite being bipolar, which makes her volatile and unpredictable. With the help of her long-time mentor Saul Berenson, Carrie fearlessly risks everything, including her personal well-being and even sanity, at every turn.",2011-10-02,['US'],en,7.4,1085,45.442,"[80, 18, 10759, 10768]"
63247,Westworld,Westworld,"A dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged.",2016-10-02,['US'],en,8.1,2055,42.623,"[878, 37]"
71912,The Witcher,The Witcher,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",2019-12-20,['US'],en,8.1,453,73.832,"[18, 10765]"
96346,Luna Nera,Luna Nera,"In 17th-century Italy, a teenager learns about her destiny among a family of witches, just as her boyfriend's father hunts her down for witchcraft.",2020-01-31,['IT'],it,9.4,7,56.477,[10765]
60572,Pokémon,ポケモン,"Join Ash Ketchum, accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",1997-04-01,['JP'],ja,6.6,279,56.212,"[16, 10759, 10765]"
4604,Smallville,Smallville,The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his tumultuous teen years to Clark Kent’s final steps toward embracing his destiny as the Man of Steel.,2001-10-16,['US'],en,7.2,556,47.399,"[18, 9648, 10759, 10765]"
1973,24,24,"24 is an American television series produced for the Fox network and syndicated worldwide, starring Kiefer Sutherland as Counter Terrorist Unit agent Jack Bauer. Each 24-episode season covers 24 hours in the life of Bauer, using the real time method of narration.",2001-11-05,['US'],en,7.7,594,33.274,"[18, 10759]"
61222,BoJack Horseman,BoJack Horseman,"Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",2014-08-22,['US'],en,8.2,391,44.532,"[16, 35, 18]"
4467,Late Night with David Letterman,Late Night with David Letterman,"Late Night with David Letterman is a nightly hour-long comedy talk show on NBC that was created and hosted by David Letterman. It premiered in 1982 as the first incarnation of the Late Night franchise and went off the air in 1993, after Letterman left NBC and moved to Late Show on CBS. Late Night with Conan O'Brien then filled the time slot. As of March 2, 2009, the slot has been filled by Late Night with Jimmy Fallon. It will be filled by Seth Meyers in the spring of 2014, after Fallon becomes host of The Tonight Show.",1982-02-01,['US'],en,6.2,25,10.898,"[35, 10767]"
5920,The Mentalist,The Mentalist,"Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.",2008-09-23,['US'],en,7.7,553,48.626,"[80, 18]"
1220,The Graham Norton Show,The Graham Norton Show,Each week celebrity guests join Irish comedian Graham Norton to discuss what's being going on around the world that week. The guests poke fun and share their opinions on the main news stories. Graham is often joined by a band or artist to play the show out.,2007-02-22,['GB'],en,7.0,122,33.939,"[35, 10767]"
62643,DC's Legends of Tomorrow,DC's Legends of Tomorrow,"When heroes alone are not enough ... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat — one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?",2016-01-21,['US'],en,6.4,858,57.642,"[18, 10759, 10765]"
64432,The Magicians,The Magicians,"Brakebills University is a secret institution specializing in magic. There, amidst an unorthodox education of spellcasting, a group of twenty-something friends soon discover that a magical fantasy world they read about as children is all too real— and poses grave danger to humanity.",2015-12-16,['US'],en,7.2,442,44.194,"[18, 14, 27]"
31917,Pretty Little Liars,Pretty Little Liars,"Based on the Pretty Little Liars series of young adult novels by Sara Shepard, the series follows the lives of four girls — Spencer, Hanna, Aria, and Emily — whose clique falls apart after the disappearance of their queen bee, Alison. One year later, they begin receiving messages from someone using the name ""A"" who threatens to expose their secrets — including long-hidden ones they thought only Alison knew.",2010-06-08,['US'],en,6.8,581,45.085,"[18, 9648]"
2261,The Tonight Show Starring Johnny Carson,The Tonight Show Starring Johnny Carson,"The Tonight Show Starring Johnny Carson is a talk show hosted by Johnny Carson under The Tonight Show franchise from 1962 to 1992. It originally aired during late-night.

For its first ten years, Carson's Tonight Show was based in New York City with occasional trips to Burbank, California; in May 1972, the show moved permanently to Burbank, California.

In 2002, The Tonight Show Starring Johnny Carson was ranked #12 on TV Guide's 50 Greatest TV Shows of All Time.",1962-10-01,['US'],en,8.5,23,14.677,[10767]
10180,The Virginian,The Virginian,"The Virginian is an American Western television series starring James Drury and Doug McClure, which aired on NBC from 1962 to 1971 for a total of 249 episodes. It was a spin-off from a 1958 summer series called Decision. Filmed in color, The Virginian became television's first 90-minute western series. Immensely successful, it ran for nine seasons—television's third longest running western. It follows Bonanza at fourteen seasons and 430 episodes, and Gunsmoke at twenty seasons and 635 episodes.",1962-09-19,['US'],en,7.5,6,26.753,"[18, 37]"
60708,Gotham,Gotham,"Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?",2014-09-22,['US'],en,6.9,1253,54.083,"[80, 18, 14]"
1100,How I Met Your Mother,How I Met Your Mother,Ted Mosby recounts to his son and daughter the events that led to his meeting their mother.,2005-09-19,['US'],en,7.6,1310,48.78,[35]
4656,WWE Raw,WWE Raw,"WWE Raw is a professional wrestling television program that currently airs live on Monday evenings on the USA Network in the United States. The show debuted on January 11, 1993. WWE Raw moved from the USA Network to TNN in September, 2000 and then to Spike TV in August, 2003 when TNN was rebranded. On October 3, 2005 WWE Raw returned to the USA Network.

Since its first episode, WWE Raw has broadcast live from 203 different arenas in 169 cities and towns in ten different nations. As of the show's 1,000th episode, airing on July 23, 2012, WWE Raw has become a three-hour broadcast from two-hours, a format that had previously been reserved for special episodes.",1993-01-11,['US'],en,6.3,152,26.771,[18]
1421,Modern Family,Modern Family,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",2009-09-23,['US'],en,7.3,951,57.375,[35]
20477,Wogan,Wogan,Wogan is a British television chat show,1982-05-04,['GB'],en,7.0,1,12.809,[10767]
4556,Scrubs,Scrubs,"In the unreal world of Sacred Heart Hospital, John ""J.D"" Dorian learns the ways of medicine, friendship and life.",2001-10-02,['US'],en,7.9,709,35.993,[35]
29095,TV-am,TV-am,,1983-02-01,['GB'],en,8.0,1,33.463,[]
39272,Once Upon a Time,Once Upon a Time,"There is a town in Maine where every story book character you've ever known is trapped between two worlds, victims of a powerful curse. Only one knows the truth and only one can break the spell.

Emma Swan is a 28-year-old bail bonds collector who has been supporting herself since she was abandoned as a baby. Things change for her when her son Henry, whom she abandoned years ago, finds her and asks for her help explaining that she is from a different world where she is Snow White's missing daughter.",2011-10-23,['US'],en,6.6,919,37.75,"[18, 10765]"
90811,Avenue 5,Avenue 5,"40 years in the future, space captain Ryan Clark and the crew of the luxury space cruise ship Avenue 5 navigate disgruntled passengers and unexpected events after experiencing technical difficulties onboard.",2020-01-19,['US'],en,6.9,8,50.245,"[35, 10765]"
4607,Lost,Lost,"Stripped of everything, the survivors of a horrific plane crash  must work together to stay alive. But the island holds many secrets.",2004-09-22,['US'],en,7.8,1465,58.852,"[18, 9648, 10759, 10765]"
66732,Stranger Things,Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016-07-15,['US'],en,8.3,2943,53.394,"[18, 9648, 10765]"
58841,Chicago P.D.,Chicago P.D.,"A riveting police drama about the men and women of the Chicago Police Department's District 21 who put it all on the line to serve and protect their community. District 21 is made up of two distinctly different groups: the uniformed cops who patrol the beat and go head-to-head with the city's street crimes and the Intelligence Unit that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond.",2014-01-08,['US'],en,7.7,340,48.748,"[80, 18]"
